Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Juninho,br BRA,MF,36-032,29.7,86,2.89,69,1,5,7,2,2,9,0.3,8,0,0,0,1,0,Matches
Leandro Emmanuel Martínez,ar ARG,MF,29-173,26.2,111,4.23,76,20,3,3,5,4,7,0.27,5,1,0,0,1,0,Matches
Iago Maidana,br BRA,DF,27-291,23.9,10,0.42,8,0,0,1,0,1,1,0.04,1,0,0,0,0,0,Matches
Felipe Azevedo,br BRA,"FW,MF",36-318,18.1,54,2.95,38,3,2,5,4,2,4,0.22,2,0,1,0,0,1,Matches
Danilo Avelar,br BRA,DF,34-168,20.3,27,1.33,20,3,0,4,0,0,4,0.2,3,1,0,0,0,0,Matches
Gonzalo Mastriani,uy URU,FW,30-210,18.6,32,1.72,24,0,0,2,6,0,3,0.16,3,0,0,0,0,0,Matches
Ricardo Silva,br BRA,DF,31-103,17.5,9,0.51,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marlon,br BRA,DF,29-284,15.6,38,2.44,26,8,1,0,2,1,2,0.13,1,1,0,0,0,0,Matches
Matheus Cavichioli,br BRA,GK,37-120,15.0,4,0.27,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eder,br BRA,DF,28-233,14.5,9,0.62,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Martín Benítez,ar ARG,"MF,FW",29-160,12.0,75,6.27,39,14,9,3,10,0,6,0.5,4,1,0,1,0,0,Matches
Breno Cascardo,br BRA,MF,20-060,12.1,26,2.14,20,0,2,3,0,1,2,0.16,1,0,0,1,0,0,Matches
Everaldo,br BRA,"FW,MF",29-180,11.5,42,3.65,29,3,1,3,6,0,5,0.43,5,0,0,0,0,0,Matches
Ale,br BRA,MF,33-171,13.3,29,2.18,28,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodriguinho,br BRA,DF,20-172,10.5,24,2.28,17,6,1,0,0,0,2,0.19,2,0,0,0,0,0,Matches
Lucas Kal,br BRA,MF,27-253,10.5,24,2.28,24,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateus Pasinato,br BRA,GK,31-149,10.0,1,0.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marcinho,br BRA,DF,27-192,8.9,18,2.03,14,2,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",35-158,8.0,26,3.26,16,0,5,3,2,0,4,0.5,2,0,0,2,0,0,Matches
Nicolas,br BRA,DF,26-273,8.0,15,1.87,9,5,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches
Jori,br BRA,GK,27-254,7.0,2,0.29,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Borges,br BRA,DF,30-246,6.7,18,2.69,15,2,1,0,0,0,2,0.3,2,0,0,0,0,0,Matches
Mateus Henrique,br BRA,DF,21-053,5.3,10,1.89,9,0,1,0,0,0,2,0.38,1,0,1,0,0,0,Matches
Wanderson,br BRA,DF,32-290,5.6,1,0.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Varanda,br BRA,"FW,MF",20-317,5.7,25,4.35,19,0,2,3,0,1,5,0.87,5,0,0,0,0,0,Matches
Pedrinho,br BRA,"FW,MF",24-014,4.6,12,2.63,10,0,1,0,1,0,1,0.22,0,0,0,0,1,0,Matches
Esteban Burgos,ar ARG,DF,31-319,3.3,1,0.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
