Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Juninho,br BRA,MF,36-032,33,2676.0,81.0,87.5,29.7,29,89.0,26,4,27.0,0,0.64,36.0,61.0,-25.0,-0.84,0.8,39.7,45.0,-5.3,-0.18,0.39,Matches
Leandro Emmanuel Martínez,ar ARG,MF,29-173,32,2360.0,74.0,77.1,26.2,26,86.0,18,6,20.0,0,0.53,30.0,58.0,-28.0,-1.07,-0.55,34.6,40.5,-5.9,-0.23,0.0,Matches
Iago Maidana,br BRA,DF,27-291,29,2150.0,74.0,70.3,23.9,24,86.0,21,5,19.0,1,0.55,30.0,52.0,-22.0,-0.92,0.07,32.5,37.1,-4.6,-0.19,0.12,Matches
Felipe Azevedo,br BRA,"FW,MF",36-318,28,1625.0,58.0,53.1,18.1,23,65.0,2,5,26.0,3,0.71,19.0,33.0,-14.0,-0.78,0.35,22.6,25.4,-2.8,-0.15,0.16,Matches
Danilo Avelar,br BRA,DF,34-168,24,1828.0,76.0,59.7,20.3,22,82.0,14,2,9.0,3,0.83,30.0,40.0,-10.0,-0.49,1.11,24.9,27.6,-2.7,-0.13,0.23,Matches
Gonzalo Mastriani,uy URU,FW,30-210,22,1675.0,76.0,54.7,18.6,20,80.0,9,2,41.0,9,0.59,21.0,32.0,-11.0,-0.59,0.77,23.6,24.2,-0.6,-0.03,0.43,Matches
Ricardo Silva,br BRA,DF,31-103,19,1574.0,83.0,51.4,17.5,17,90.0,17,2,22.0,3,0.79,19.0,34.0,-15.0,-0.86,0.17,24.1,25.6,-1.6,-0.09,0.28,Matches
Marlon,br BRA,DF,29-284,23,1404.0,61.0,45.9,15.6,15,80.0,8,8,26.0,6,0.48,16.0,31.0,-15.0,-0.96,-0.04,20.4,24.1,-3.7,-0.24,-0.02,Matches
Matheus Cavichioli,br BRA,GK,37-120,15,1348.0,90.0,44.1,15.0,15,90.0,14,0,,11,0.47,13.0,31.0,-18.0,-1.2,-0.47,20.0,22.5,-2.5,-0.17,0.11,Matches
Eder,br BRA,DF,28-233,20,1302.0,65.0,42.5,14.5,14,83.0,12,6,24.0,10,0.45,14.0,39.0,-25.0,-1.73,-1.37,18.6,29.2,-10.6,-0.73,-0.88,Matches
Martín Benítez,ar ARG,"MF,FW",29-160,18,1076.0,60.0,35.2,12.0,14,67.0,2,4,34.0,5,0.39,16.0,28.0,-12.0,-1.0,-0.1,16.7,19.1,-2.4,-0.2,0.03,Matches
Breno Cascardo,br BRA,MF,20-060,23,1092.0,47.0,35.7,12.1,13,64.0,0,10,26.0,5,0.87,12.0,24.0,-12.0,-0.99,-0.07,14.1,15.7,-1.6,-0.13,0.15,Matches
Everaldo,br BRA,"FW,MF",29-180,18,1037.0,58.0,33.9,11.5,13,68.0,2,5,30.0,9,0.28,12.0,23.0,-11.0,-0.95,-0.02,14.7,19.6,-4.9,-0.43,-0.3,Matches
Ale,br BRA,MF,33-171,23,1199.0,52.0,39.2,13.3,12,82.0,7,11,19.0,7,0.57,13.0,28.0,-15.0,-1.13,-0.3,18.3,22.4,-4.1,-0.31,-0.13,Matches
Rodriguinho,br BRA,DF,20-172,16,947.0,59.0,30.9,10.5,12,74.0,4,4,15.0,6,0.94,17.0,16.0,1.0,0.1,1.5,11.3,14.7,-3.4,-0.32,-0.14,Matches
Lucas Kal,br BRA,MF,27-253,15,945.0,63.0,30.9,10.5,12,76.0,4,3,11.0,10,0.73,11.0,20.0,-9.0,-0.86,0.12,14.1,14.4,-0.3,-0.03,0.28,Matches
Mateus Pasinato,br BRA,GK,31-149,10,900.0,90.0,29.4,10.0,10,90.0,10,0,,13,0.91,15.0,22.0,-7.0,-0.7,0.34,13.2,15.3,-2.1,-0.21,0.03,Matches
Marcinho,br BRA,DF,27-192,12,800.0,67.0,26.1,8.9,10,76.0,4,2,20.0,7,0.5,10.0,21.0,-11.0,-1.24,-0.4,12.1,13.4,-1.3,-0.14,0.11,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",35-158,12,717.0,60.0,23.4,8.0,10,64.0,1,2,37.0,0,0.75,7.0,15.0,-8.0,-1.0,-0.08,10.8,12.7,-1.8,-0.23,0.0,Matches
Nicolas,br BRA,DF,26-273,11,720.0,65.0,23.5,8.0,8,79.0,3,3,30.0,10,0.55,11.0,16.0,-5.0,-0.62,0.41,12.3,11.4,0.9,0.11,0.44,Matches
