Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Juninho,br BRA,MF,36-032,29.7,3,25,10,40.0,0.84,0.34,0.12,0.3,15.7,0,0,0,2.3,2.3,0.09,0.7,0.7,Matches
Leandro Emmanuel Martínez,ar ARG,MF,29-173,26.2,1,35,11,31.4,1.33,0.42,0.03,0.09,22.9,3,0,0,3.2,3.2,0.09,-2.2,-2.2,Matches
Iago Maidana,br BRA,DF,27-291,23.9,0,15,4,26.7,0.63,0.17,0.0,0.0,13.6,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Felipe Azevedo,br BRA,"FW,MF",36-318,18.1,4,39,14,35.9,2.16,0.78,0.1,0.29,16.9,0,0,0,3.5,3.5,0.09,0.5,0.5,Matches
Danilo Avelar,br BRA,DF,34-168,20.3,3,33,9,27.3,1.62,0.44,0.06,0.22,13.5,0,1,1,3.9,3.2,0.1,-0.9,-1.2,Matches
Gonzalo Mastriani,uy URU,FW,30-210,18.6,11,53,23,43.4,2.85,1.24,0.19,0.43,14.3,0,1,2,10.7,9.1,0.17,0.3,0.9,Matches
Ricardo Silva,br BRA,DF,31-103,17.5,0,6,3,50.0,0.34,0.17,0.0,0.0,14.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Marlon,br BRA,DF,29-284,15.6,1,11,3,27.3,0.71,0.19,0.09,0.33,24.2,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
Matheus Cavichioli,br BRA,GK,37-120,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eder,br BRA,DF,28-233,14.5,0,5,1,20.0,0.35,0.07,0.0,0.0,14.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Martín Benítez,ar ARG,"MF,FW",29-160,12.0,3,36,10,27.8,3.01,0.84,0.08,0.3,24.5,6,0,0,2.6,2.6,0.08,0.4,0.4,Matches
Breno Cascardo,br BRA,MF,20-060,12.1,1,22,5,22.7,1.81,0.41,0.05,0.2,22.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
Everaldo,br BRA,"FW,MF",29-180,11.5,1,17,4,23.5,1.48,0.35,0.06,0.25,20.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Ale,br BRA,MF,33-171,13.3,1,13,1,7.7,0.98,0.08,0.08,1.0,14.2,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches
Rodriguinho,br BRA,DF,20-172,10.5,2,10,4,40.0,0.95,0.38,0.2,0.5,21.2,0,0,0,0.4,0.4,0.04,1.6,1.6,Matches
Lucas Kal,br BRA,MF,27-253,10.5,0,9,2,22.2,0.86,0.19,0.0,0.0,25.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Mateus Pasinato,br BRA,GK,31-149,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marcinho,br BRA,DF,27-192,8.9,0,8,1,12.5,0.9,0.11,0.0,0.0,28.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",35-158,8.0,3,34,10,29.4,4.27,1.26,0.03,0.1,20.5,2,2,2,4.1,2.7,0.08,-1.1,-1.7,Matches
Nicolas,br BRA,DF,26-273,8.0,1,8,5,62.5,1.0,0.62,0.13,0.2,29.5,4,0,0,0.2,0.2,0.03,0.8,0.8,Matches
Jori,br BRA,GK,27-254,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Borges,br BRA,DF,30-246,6.7,0,3,0,0.0,0.45,0.0,0.0,,25.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Mateus Henrique,br BRA,DF,21-053,5.3,0,2,0,0.0,0.38,0.0,0.0,,8.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Wanderson,br BRA,DF,32-290,5.6,0,2,1,50.0,0.36,0.18,0.0,0.0,12.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
