Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Juninho,br BRA,MF,36-032,33,29,2676.0,29.7,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.3,2.3,3.4,5.7,28.0,96.0,148.0,0.1,0.07,0.17,0.1,0.17,0.08,0.12,0.19,0.08,0.19,Matches
Leandro Emmanuel Martínez,ar ARG,MF,29-173,32,26,2360.0,26.2,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,3.2,3.2,4.0,7.2,65.0,141.0,96.0,0.04,0.15,0.19,0.04,0.19,0.12,0.15,0.28,0.12,0.28,Matches
Iago Maidana,br BRA,DF,27-291,29,24,2150.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.1,0.9,17.0,54.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Felipe Azevedo,br BRA,"FW,MF",36-318,28,23,1625.0,18.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,3.5,3.5,2.0,5.4,30.0,49.0,116.0,0.22,0.06,0.28,0.22,0.28,0.19,0.11,0.3,0.19,0.3,Matches
Danilo Avelar,br BRA,DF,34-168,24,22,1828.0,20.3,3.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,3.9,3.2,0.6,3.7,11.0,66.0,38.0,0.15,0.05,0.2,0.1,0.15,0.19,0.03,0.22,0.16,0.18,Matches
Gonzalo Mastriani,uy URU,FW,30-210,22,20,1675.0,18.6,11.0,1.0,12.0,10.0,1.0,2.0,1.0,1.0,10.7,9.1,1.5,10.6,8.0,22.0,82.0,0.59,0.05,0.64,0.54,0.59,0.57,0.08,0.66,0.49,0.57,Matches
Ricardo Silva,br BRA,DF,31-103,19,17,1574.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.1,0.4,10.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Marlon,br BRA,DF,29-284,23,15,1404.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.7,1.2,55.0,66.0,69.0,0.06,0.06,0.13,0.06,0.13,0.03,0.04,0.08,0.03,0.08,Matches
Matheus Cavichioli,br BRA,GK,37-120,15,15,1348.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eder,br BRA,DF,28-233,20,14,1302.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,0.2,0.3,9.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Martín Benítez,ar ARG,"MF,FW",29-160,18,14,1076.0,12.0,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,2.6,2.6,4.0,6.5,25.0,72.0,56.0,0.25,0.33,0.59,0.25,0.59,0.21,0.33,0.55,0.21,0.55,Matches
Breno Cascardo,br BRA,MF,20-060,23,13,1092.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.5,1.8,22.0,71.0,32.0,0.08,0.0,0.08,0.08,0.08,0.11,0.04,0.15,0.11,0.15,Matches
Everaldo,br BRA,"FW,MF",29-180,18,13,1037.0,11.5,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,2.0,3.1,49.0,43.0,81.0,0.09,0.26,0.35,0.09,0.35,0.1,0.18,0.27,0.1,0.27,Matches
Ale,br BRA,MF,33-171,23,12,1199.0,13.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.8,1.8,1.2,3.0,25.0,90.0,28.0,0.08,0.0,0.08,0.08,0.08,0.14,0.09,0.23,0.14,0.23,Matches
Rodriguinho,br BRA,DF,20-172,16,12,947.0,10.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,1.7,2.2,44.0,27.0,83.0,0.19,0.19,0.38,0.19,0.38,0.04,0.17,0.21,0.04,0.21,Matches
Lucas Kal,br BRA,MF,27-253,15,12,945.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.0,1.3,17.0,70.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches
Mateus Pasinato,br BRA,GK,31-149,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcinho,br BRA,DF,27-192,12,10,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,12.0,40.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",35-158,12,10,717.0,8.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,0.0,4.1,2.7,0.7,3.4,6.0,9.0,49.0,0.38,0.13,0.5,0.13,0.25,0.52,0.09,0.61,0.34,0.43,Matches
Nicolas,br BRA,DF,26-273,11,8,720.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,15.0,18.0,24.0,0.12,0.12,0.25,0.12,0.25,0.03,0.02,0.05,0.03,0.05,Matches
Jori,br BRA,GK,27-254,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Borges,br BRA,DF,30-246,11,6,602.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,1.4,1.5,16.0,33.0,25.0,0.0,0.15,0.15,0.0,0.15,0.01,0.21,0.22,0.01,0.22,Matches
Mateus Henrique,br BRA,DF,21-053,11,6,475.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.7,5.0,11.0,21.0,0.0,0.19,0.19,0.0,0.19,0.03,0.11,0.14,0.03,0.14,Matches
Wanderson,br BRA,DF,32-290,7,5,500.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches
Rodrigo Varanda,br BRA,"FW,MF",20-317,12,4,516.0,5.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,1.2,2.8,18.0,20.0,40.0,0.35,0.17,0.52,0.35,0.52,0.28,0.21,0.49,0.28,0.49,Matches
Pedrinho,br BRA,"FW,MF",24-014,8,4,411.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.2,29.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.25,0.16,0.25,Matches
