Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Bento,br BRA,GK,24-167,29.0,3,0,0,2,2,0,0,1,0,0.0,0.0,0,16.0,9.0,0.0,100.0,Matches
Thiago Heleno,br BRA,DF,35-068,27.9,8,0,0,31,18,2,0,38,24,0.0,1.0,0,124.0,73.0,43.0,62.9,Matches
Erick,br BRA,MF,26-010,23.8,6,0,0,42,20,1,3,36,26,0.0,0.0,0,125.0,59.0,30.0,66.3,Matches
Agustín Canobbio,uy URU,"FW,MF",25-054,22.0,10,0,0,40,47,12,60,8,33,1.0,1.0,0,132.0,18.0,29.0,38.3,Matches
Vitor Bueno,br BRA,"MF,FW",29-080,19.8,7,0,0,17,29,3,127,6,7,0.0,0.0,0,75.0,18.0,35.0,34.0,Matches
Fernandinho,br BRA,MF,38-204,18.5,10,1,1,28,29,1,9,16,13,0.0,1.0,0,127.0,23.0,24.0,48.9,Matches
Tomás Cuello,ar ARG,"FW,MF",23-264,19.1,3,0,0,34,44,4,102,28,24,0.0,0.0,0,103.0,23.0,26.0,46.9,Matches
Vitor Roque,br BRA,FW,18-269,17.3,6,0,0,34,46,6,6,2,10,1.0,0.0,0,54.0,21.0,33.0,38.9,Matches
Lucas Esquivel,ar ARG,DF,22-041,17.3,3,0,0,22,25,0,82,20,26,0.0,1.0,0,107.0,10.0,25.0,28.6,Matches
Cacá,br BRA,DF,24-213,15.8,4,0,0,25,9,0,2,17,13,0.0,0.0,0,76.0,36.0,29.0,55.4,Matches
Pablo,br BRA,FW,31-154,15.5,3,0,0,23,19,11,10,8,10,0.0,0.0,0,61.0,25.0,37.0,40.3,Matches
Hugo Moura,br BRA,MF,25-325,13.7,5,0,0,26,15,0,7,17,18,0.0,0.0,0,73.0,15.0,7.0,68.2,Matches
Khellven,br BRA,DF,22-272,11.1,1,0,0,9,9,3,40,16,11,0.0,0.0,0,44.0,9.0,14.0,39.1,Matches
Mádson,br BRA,DF,31-315,12.2,3,0,0,17,16,3,15,10,3,0.0,0.0,0,39.0,34.0,22.0,60.7,Matches
Bruno Zapelli,ar ARG,"MF,FW",21-191,11.6,0,0,0,13,11,1,34,6,7,0.0,0.0,0,52.0,6.0,12.0,33.3,Matches
Christian,br BRA,"MF,FW",22-340,11.6,1,0,0,24,19,0,19,10,10,0.0,0.0,0,46.0,6.0,19.0,24.0,Matches
Zé Ivaldo,br BRA,DF,26-276,11.3,2,1,0,20,10,0,3,16,13,0.0,1.0,0,74.0,32.0,18.0,64.0,Matches
Pedro Henrique,br BRA,DF,28-053,9.5,3,0,0,14,6,2,4,12,5,0.0,0.0,0,51.0,22.0,18.0,55.0,Matches
Alex Santana,br BRA,MF,28-195,11.0,5,1,0,18,25,3,3,9,11,0.0,0.0,0,59.0,13.0,14.0,48.1,Matches
Fernando,br BRA,DF,24-071,5.3,1,0,0,4,2,0,21,8,9,0.0,0.0,0,25.0,3.0,8.0,27.3,Matches
