Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Bento,br BRA,GK,24-167,29.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Thiago Heleno,br BRA,DF,35-068,27.9,0,17,4,23.5,0.61,0.14,0.0,0.0,10.4,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Erick,br BRA,MF,26-010,23.8,4,51,14,27.5,2.15,0.59,0.08,0.29,13.3,0.0,0,0,4.8,4.8,0.09,-0.8,-0.8,Matches
Agustín Canobbio,uy URU,"FW,MF",25-054,22.0,3,62,28,45.2,2.82,1.27,0.05,0.11,20.3,3.0,0,0,4.7,4.7,0.08,-1.7,-1.7,Matches
Vitor Bueno,br BRA,"MF,FW",29-080,19.8,4,56,15,26.8,2.82,0.76,0.02,0.07,26.5,8.0,3,3,5.0,2.8,0.05,-1.0,-1.8,Matches
Fernandinho,br BRA,MF,38-204,18.5,1,12,2,16.7,0.65,0.11,0.0,0.0,27.1,0.0,1,1,1.1,0.4,0.03,-0.1,-0.4,Matches
Tomás Cuello,ar ARG,"FW,MF",23-264,19.1,0,29,8,27.6,1.52,0.42,0.0,0.0,22.2,0.0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
Vitor Roque,br BRA,FW,18-269,17.3,11,48,22,45.8,2.77,1.27,0.23,0.5,14.4,0.0,0,0,8.2,8.2,0.17,2.8,2.8,Matches
Lucas Esquivel,ar ARG,DF,22-041,17.3,0,8,2,25.0,0.46,0.12,0.0,0.0,22.1,3.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Cacá,br BRA,DF,24-213,15.8,2,7,2,28.6,0.44,0.13,0.29,1.0,11.2,0.0,0,0,1.1,1.1,0.15,0.9,0.9,Matches
Pablo,br BRA,FW,31-154,15.5,7,43,15,34.9,2.77,0.97,0.16,0.47,16.5,0.0,0,0,6.1,6.1,0.14,0.9,0.9,Matches
Hugo Moura,br BRA,MF,25-325,13.7,0,10,1,10.0,0.73,0.07,0.0,0.0,27.9,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Khellven,br BRA,DF,22-272,11.1,0,10,2,20.0,0.9,0.18,0.0,0.0,21.0,3.0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Mádson,br BRA,DF,31-315,12.2,1,8,4,50.0,0.66,0.33,0.13,0.25,11.2,0.0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Bruno Zapelli,ar ARG,"MF,FW",21-191,11.6,2,28,4,14.3,2.41,0.34,0.07,0.5,21.5,0.0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
Christian,br BRA,"MF,FW",22-340,11.6,4,22,7,31.8,1.89,0.6,0.18,0.57,19.6,0.0,0,0,2.5,2.5,0.11,1.5,1.5,Matches
