Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Éverson,br BRA,GK,33-125,32.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,14,0,Matches
Paulinho,br BRA,"FW,MF",23-132,29.5,37,27,11,21,5,17,35,48.6,18,24,1,23,15,52,15,0,Matches
Hulk,br BRA,FW,37-122,28.7,21,15,3,11,7,6,19,31.6,13,12,3,9,1,22,32,0,Matches
Jemerson,br BRA,DF,31-092,24.5,29,20,18,10,1,15,30,50.0,15,27,22,5,28,57,91,1,Matches
Mauricio Lemos,uy URU,DF,27-331,23.1,41,29,30,9,2,27,34,79.4,7,29,23,6,36,77,107,0,Matches
Guilherme Arana,br BRA,DF,26-224,22.6,39,27,23,15,1,15,22,68.2,7,27,7,20,30,69,43,0,Matches
Otávio,br BRA,MF,29-204,21.9,66,36,29,31,6,31,73,42.5,42,33,13,20,20,86,29,0,Matches
Cristian Pavón,ar ARG,"FW,MF",27-307,20.0,32,27,13,11,8,17,56,30.4,39,22,0,22,18,50,8,0,Matches
Rodrigo Battaglia,ar ARG,MF,32-135,19.2,39,29,15,22,2,20,37,54.1,17,22,9,13,12,51,22,1,Matches
Federico Zaracho,ar ARG,"MF,FW",25-259,18.9,56,31,20,30,6,20,76,26.3,56,27,4,23,27,83,18,0,Matches
Renzo Saravia,ar ARG,DF,30-161,17.5,54,32,24,23,7,32,62,51.6,30,34,7,27,15,69,46,0,Matches
Mariano,br BRA,DF,37-154,14.8,43,26,25,16,2,29,42,69.0,13,9,3,6,13,56,22,1,Matches
Rubens,br BRA,"DF,MF",22-156,13.7,75,44,44,20,11,29,53,54.7,24,16,3,13,18,93,53,0,Matches
Igor Gomes,br BRA,"MF,FW",24-252,13.0,14,10,7,5,2,10,24,41.7,14,15,4,11,9,23,7,0,Matches
Bruno Fuchs,br BRA,DF,24-237,12.1,13,6,11,2,0,4,8,50.0,4,11,5,6,16,29,53,0,Matches
Hyoran,br BRA,"MF,FW",30-183,7.7,15,8,5,6,4,9,26,34.6,17,13,2,11,3,18,6,0,Matches
Edenílson,br BRA,"MF,FW",33-341,11.7,19,10,11,6,2,14,23,60.9,9,14,1,13,14,33,17,0,Matches
Alan Franco,ec ECU,"MF,FW",25-095,8.7,21,10,9,7,5,5,14,35.7,9,11,4,7,15,36,9,0,Matches
Pedrinho,br BRA,"MF,FW",25-225,6.7,13,5,4,7,2,4,5,80.0,1,5,0,5,0,13,2,0,Matches
Igor Rabello,br BRA,DF,28-210,5.2,12,8,9,3,0,8,13,61.5,5,7,5,2,6,18,25,0,Matches
Eduardo Vargas,cl CHI,FW,34-004,5.2,3,1,1,2,0,3,12,25.0,9,4,0,4,0,3,1,0,Matches
Nathan Silva,br BRA,DF,26-202,4.0,3,2,3,0,0,2,2,100.0,0,3,2,1,0,3,14,0,Matches
Patrick,br BRA,"MF,FW",31-118,6.1,27,18,8,10,9,11,26,42.3,15,11,1,10,6,33,8,0,Matches
Alan Kardec,br BRA,"FW,MF",34-316,2.7,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
Matheus Mendes,br BRA,GK,24-259,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Dodô,br BRA,DF,31-291,0.7,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Alisson,br BRA,"MF,DF",18-064,0.5,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,Matches
Réver,br BRA,"DF,FW",38-324,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,9,0,Matches
Isaac,br BRA,FW,19-243,0.2,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Paulo Vitor,br BRA,MF,19-090,0.2,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
Carlos Eduardo,br BRA,"MF,FW",19-184,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Squad Total,,,29.5,34.0,675,424,323,269,83,329,695,47.3,366,381,120,261,306,981,655,3,
Opponent Total,,,28.3,34.0,576,334,262,251,63,257,604,42.5,347,381,114,267,352,928,643,5,
