Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Éverson,br BRA,GK,33-125,32.0,6,0,0,0,9,0,0,1,0,0,0,0,24,3,0,100.0,Matches
Paulinho,br BRA,"FW,MF",23-132,29.5,1,0,0,19,23,9,17,15,27,0,0,0,144,23,29,44.2,Matches
Hulk,br BRA,FW,37-122,28.7,8,1,0,48,104,18,120,1,15,2,0,0,64,37,58,38.9,Matches
Jemerson,br BRA,DF,31-092,24.5,8,0,0,39,18,2,0,28,20,0,0,1,109,42,32,56.8,Matches
Mauricio Lemos,uy URU,DF,27-331,23.1,11,1,1,24,17,2,2,36,29,0,0,0,131,59,37,61.5,Matches
Guilherme Arana,br BRA,DF,26-224,22.6,1,1,0,17,19,0,91,30,27,0,0,0,99,24,26,48.0,Matches
Otávio,br BRA,MF,29-204,21.9,8,0,0,40,12,0,2,20,36,0,0,0,121,22,23,48.9,Matches
Cristian Pavón,ar ARG,"FW,MF",27-307,20.0,7,0,0,19,24,10,78,18,27,0,0,0,102,11,23,32.4,Matches
Rodrigo Battaglia,ar ARG,MF,32-135,19.2,6,0,0,42,22,1,7,12,29,0,0,0,106,28,28,50.0,Matches
Federico Zaracho,ar ARG,"MF,FW",25-259,18.9,7,0,0,44,26,2,8,27,31,0,0,0,100,11,38,22.4,Matches
Renzo Saravia,ar ARG,DF,30-161,17.5,8,1,0,44,41,1,41,15,32,1,0,0,131,23,31,42.6,Matches
Mariano,br BRA,DF,37-154,14.8,5,0,0,26,4,0,34,13,26,0,0,0,111,5,15,25.0,Matches
Rubens,br BRA,"DF,MF",22-156,13.7,4,0,0,33,14,3,35,18,44,0,0,0,85,36,29,55.4,Matches
Igor Gomes,br BRA,"MF,FW",24-252,13.0,1,0,0,21,17,1,58,9,10,0,0,0,79,17,16,51.5,Matches
Bruno Fuchs,br BRA,DF,24-237,12.1,2,0,0,11,10,0,3,16,6,0,0,0,61,15,13,53.6,Matches
Hyoran,br BRA,"MF,FW",30-183,7.7,4,0,0,24,12,1,50,3,8,0,1,0,37,5,6,45.5,Matches
Edenílson,br BRA,"MF,FW",33-341,11.7,0,0,0,14,11,0,11,14,10,0,0,0,65,9,16,36.0,Matches
Alan Franco,ec ECU,"MF,FW",25-095,8.7,2,0,0,29,3,0,4,15,10,0,0,0,52,8,12,40.0,Matches
Pedrinho,br BRA,"MF,FW",25-225,6.7,2,0,0,14,14,0,22,0,5,0,0,0,32,5,10,33.3,Matches
Igor Rabello,br BRA,DF,28-210,5.2,2,1,0,7,1,0,1,6,8,0,0,0,30,24,15,61.5,Matches
Eduardo Vargas,cl CHI,FW,34-004,5.2,3,0,0,7,5,0,4,0,1,1,0,0,8,11,13,45.8,Matches
Nathan Silva,br BRA,DF,26-202,4.0,1,0,0,5,1,0,1,0,2,0,0,0,19,5,4,55.6,Matches
Patrick,br BRA,"MF,FW",31-118,6.1,1,0,0,9,13,1,15,6,18,1,0,0,36,10,16,38.5,Matches
Alan Kardec,br BRA,"FW,MF",34-316,2.7,1,0,0,8,4,3,1,1,0,0,0,0,5,12,14,46.2,Matches
Matheus Mendes,br BRA,GK,24-259,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Dodô,br BRA,DF,31-291,0.7,0,0,0,0,2,0,4,1,0,0,0,0,1,2,2,50.0,Matches
Alisson,br BRA,"MF,DF",18-064,0.5,1,0,0,3,1,0,3,0,1,0,0,0,4,0,1,0.0,Matches
Réver,br BRA,"DF,FW",38-324,0.3,1,0,0,1,1,0,0,0,0,0,0,0,0,3,2,60.0,Matches
Isaac,br BRA,FW,19-243,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,Matches
Paulo Vitor,br BRA,MF,19-090,0.2,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,,Matches
Carlos Eduardo,br BRA,"MF,FW",19-184,0.1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
Squad Total,,,29.5,34.0,103,5,1,552,429,54,612,306,424,5,1,1,1759,451,510,46.9,
Opponent Total,,,28.3,34.0,98,7,3,455,524,53,625,352,334,0,6,1,1776,510,451,53.1,
