Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Éverson,br BRA,GK,33-125,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paulinho,br BRA,"FW,MF",23-132,29.5,17,86,44,51.2,2.91,1.49,0.2,0.39,13.5,0,0,0,13.6,13.6,0.16,3.4,3.4,Matches
Hulk,br BRA,FW,37-122,28.7,13,102,36,35.3,3.56,1.25,0.08,0.22,25.9,30,5,5,10.9,7.4,0.07,2.1,0.6,Matches
Jemerson,br BRA,DF,31-092,24.5,0,7,1,14.3,0.29,0.04,0.0,0.0,10.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Mauricio Lemos,uy URU,DF,27-331,23.1,1,20,7,35.0,0.87,0.3,0.05,0.14,20.7,5,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Guilherme Arana,br BRA,DF,26-224,22.6,1,25,6,24.0,1.11,0.27,0.04,0.17,24.6,0,0,0,0.9,0.9,0.04,0.1,0.1,Matches
Otávio,br BRA,MF,29-204,21.9,0,7,1,14.3,0.32,0.05,0.0,0.0,23.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Cristian Pavón,ar ARG,"FW,MF",27-307,20.0,3,52,16,30.8,2.6,0.8,0.04,0.13,20.3,1,1,1,4.1,3.3,0.06,-1.1,-1.3,Matches
Rodrigo Battaglia,ar ARG,MF,32-135,19.2,0,17,3,17.6,0.89,0.16,0.0,0.0,18.7,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
Federico Zaracho,ar ARG,"MF,FW",25-259,18.9,1,17,3,17.6,0.9,0.16,0.06,0.33,18.1,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches
Renzo Saravia,ar ARG,DF,30-161,17.5,0,9,2,22.2,0.51,0.11,0.0,0.0,26.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Mariano,br BRA,DF,37-154,14.8,0,1,1,100.0,0.07,0.07,0.0,0.0,14.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Rubens,br BRA,"DF,MF",22-156,13.7,0,15,4,26.7,1.1,0.29,0.0,0.0,24.1,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Igor Gomes,br BRA,"MF,FW",24-252,13.0,2,18,5,27.8,1.38,0.38,0.11,0.4,21.6,0,0,0,1.7,1.7,0.09,0.3,0.3,Matches
Bruno Fuchs,br BRA,DF,24-237,12.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hyoran,br BRA,"MF,FW",30-183,7.7,2,19,5,26.3,2.47,0.65,0.11,0.4,20.9,3,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
Edenílson,br BRA,"MF,FW",33-341,11.7,0,4,2,50.0,0.34,0.17,0.0,0.0,21.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Alan Franco,ec ECU,"MF,FW",25-095,8.7,0,4,1,25.0,0.46,0.11,0.0,0.0,22.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Pedrinho,br BRA,"MF,FW",25-225,6.7,0,10,2,20.0,1.49,0.3,0.0,0.0,27.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Igor Rabello,br BRA,DF,28-210,5.2,0,1,0,0.0,0.19,0.0,0.0,,3.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Eduardo Vargas,cl CHI,FW,34-004,5.2,1,6,4,66.7,1.15,0.77,0.17,0.25,18.2,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
Nathan Silva,br BRA,DF,26-202,4.0,0,2,1,50.0,0.5,0.25,0.0,0.0,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Patrick,br BRA,"MF,FW",31-118,6.1,0,6,1,16.7,0.99,0.16,0.0,0.0,11.0,0,0,0,0.9,0.9,0.16,-0.9,-0.9,Matches
Alan Kardec,br BRA,"FW,MF",34-316,2.7,1,7,1,14.3,2.61,0.37,0.14,1.0,10.5,0,0,0,0.9,0.9,0.13,0.1,0.1,Matches
Matheus Mendes,br BRA,GK,24-259,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dodô,br BRA,DF,31-291,0.7,0,1,0,0.0,1.53,0.0,0.0,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Alisson,br BRA,"MF,DF",18-064,0.5,0,1,0,0.0,2.2,0.0,0.0,,33.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Réver,br BRA,"DF,FW",38-324,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Isaac,br BRA,FW,19-243,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
