Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-04-15,18:30,Série A,Matchweek 1,Sat,Away,L,1.0,2.0,Bragantino,0.7,2.0,45.0,3368.0,Kanu,3-4-3,Maguielson Lima Barbosa,Match Report,
2023-04-24,20:00,Série A,Matchweek 2,Mon,Home,L,1.0,2.0,Botafogo (RJ),0.9,0.2,58.0,27822.0,Everaldo Stum,5-4-1,Raphael Claus,Match Report,
2023-05-01,20:00,Série A,Matchweek 3,Mon,Away,W,1.0,0.0,Vasco da Gama,1.1,0.9,45.0,19223.0,Kanu,5-4-1,Flavio Rodrigues de Souza,Match Report,
2023-05-07,16:00,Série A,Matchweek 4,Sun,Home,W,3.0,1.0,Coritiba,1.5,0.4,50.0,37936.0,Kanu,3-4-3,Bruno Mota Correia,Match Report,
2023-05-10,19:00,Série A,Matchweek 5,Wed,Away,L,0.0,3.0,Santos,1.3,2.0,59.0,7262.0,Kanu,3-4-3,Wagner do Nascimento Magalhães,Match Report,
2023-05-13,16:00,Série A,Matchweek 6,Sat,Home,L,2.0,3.0,Flamengo,1.4,2.2,52.0,48502.0,Kanu,3-4-1-2,Paulo Cesar Zanovelli da Silva,Match Report,
2023-05-20,16:00,Série A,Matchweek 7,Sat,Home,D,1.0,1.0,Goiás,2.3,0.9,50.0,32519.0,Everaldo Stum,3-4-3,Denis da Silva Ribeiro Serafim,Match Report,
2023-05-28,16:00,Série A,Matchweek 8,Sun,Away,L,0.0,2.0,Internacional,1.1,0.9,56.0,19037.0,Kanu,3-4-3,Wagner do Nascimento Magalhães,Match Report,
2023-06-03,16:00,Série A,Matchweek 9,Sat,Away,D,0.0,0.0,Fortaleza,0.3,0.6,45.0,38338.0,Kanu,3-5-2,João Vitor Gobi,Match Report,
2023-06-10,18:30,Série A,Matchweek 10,Sat,Home,D,2.0,2.0,Cruzeiro,1.4,2.4,48.0,34019.0,Kanu,3-4-3,Rodrigo José Pereira de Lima,Match Report,
2023-06-21,21:30,Série A,Matchweek 11,Wed,Home,W,1.0,0.0,Palmeiras,1.1,0.8,46.0,31013.0,Kanu,4-2-3-1,Wilton Sampaio,Match Report,
