Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Marcos Felipe,br BRA,GK,27-225,33.0,749,1053,71.1,21932,16366,149,153,97.4,318,327,97.2,277,563,49.2,0,0.0,0.0,0.0,0,11,1,0,0,Matches
Thaciano,br BRA,"MF,FW",28-196,28.5,824,1003,82.2,14391,3494,361,423,85.3,348,407,85.5,85,113,75.2,3,1.7,2.1,1.3,24,68,14,3,105,Matches
Kanu,br BRA,DF,26-262,28.4,1305,1454,89.8,24886,8137,457,481,95.0,681,727,93.7,139,195,71.3,0,0.5,0.7,-0.5,9,61,1,0,89,Matches
Rezende,br BRA,"MF,DF",28-326,26.2,997,1186,84.1,16301,5273,463,526,88.0,449,505,88.9,66,92,71.7,2,1.0,1.4,1.0,13,108,7,1,89,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28-070,24.4,887,1206,73.5,13837,4466,462,558,82.8,302,388,77.8,71,158,44.9,5,4.9,5.2,0.1,70,120,46,7,166,Matches
Everaldo Stum,br BRA,FW,32-142,22.8,279,448,62.3,4063,1001,160,236,67.8,92,135,68.1,15,31,48.4,1,2.5,2.4,-1.5,27,32,18,4,54,Matches
Vitor Hugo,br BRA,DF,32-188,20.2,827,962,86.0,16422,6058,251,282,89.0,486,527,92.2,87,134,64.9,0,0.5,0.6,-0.5,4,67,4,0,79,Matches
Ademir Santos,br BRA,"FW,MF",28-281,18.4,393,580,67.8,6429,2050,211,259,81.5,123,170,72.4,42,87,48.3,1,2.1,2.3,-1.1,30,45,21,8,68,Matches
Nicolás Acevedo,uy URU,MF,24-224,18.7,902,1091,82.7,15140,4622,429,478,89.7,374,442,84.6,70,100,70.0,0,0.6,0.7,-0.6,11,92,9,0,102,Matches
Gilberto,br BRA,DF,30-262,16.7,829,1012,81.9,13652,4541,429,475,90.3,323,382,84.6,65,101,64.4,2,1.3,1.6,0.7,14,77,24,10,100,Matches
Camilo Cándido,uy URU,DF,28-175,13.5,525,720,72.9,8778,3436,276,316,87.3,197,274,71.9,44,95,46.3,2,1.3,1.7,0.7,23,46,18,7,57,Matches
Yago,br BRA,MF,28-294,13.6,532,625,85.1,8114,2111,288,312,92.3,165,197,83.8,44,62,71.0,0,0.6,0.6,-0.6,12,36,12,3,50,Matches
Gabriel Teixeira,br BRA,"FW,MF",22-237,11.6,235,319,73.7,3707,1310,140,163,85.9,70,92,76.1,20,43,46.5,1,2.7,2.7,-1.7,26,27,19,3,49,Matches
Gabriel,br BRA,DF,22-202,10.9,407,517,78.7,7824,2699,158,177,89.3,194,228,85.1,51,99,51.5,0,0.2,0.1,-0.2,2,26,2,0,32,Matches
David Duarte,br BRA,DF,28-304,8.6,354,424,83.5,7257,2336,85,100,85.0,226,243,93.0,37,71,52.1,0,0.0,0.1,0.0,0,17,0,0,15,Matches
Cicinho,bg BUL,DF,34-333,8.2,291,368,79.1,4153,1389,186,206,90.3,87,109,79.8,9,22,40.9,0,0.3,0.4,-0.3,8,19,3,1,24,Matches
Rafael Ratão,br BRA,"FW,MF",27-359,8.5,239,312,76.6,3397,909,139,168,82.7,79,102,77.5,8,18,44.4,1,0.9,0.7,0.1,7,29,6,0,38,Matches
Vinicius Mingotti,br BRA,FW,23-321,7.2,63,83,75.9,808,104,38,46,82.6,18,21,85.7,1,2,50.0,0,0.4,0.3,-0.4,6,3,1,0,5,Matches
Vítor Jacaré,br BRA,"DF,MF",24-031,9.4,327,462,70.8,5665,2238,158,184,85.9,121,173,69.9,36,70,51.4,0,1.3,1.2,-1.3,14,29,12,6,38,Matches
Jhoanner Chávez,ec ECU,"DF,MF",21-213,6.5,258,334,77.2,3968,1221,139,157,88.5,98,127,77.2,14,29,48.3,0,0.5,0.6,-0.5,12,11,7,5,17,Matches
Matheus Bahia,br BRA,"DF,MF",24-105,5.5,187,269,69.5,2905,1137,103,125,82.4,57,77,74.0,18,38,47.4,0,0.4,0.3,-0.4,7,14,4,3,12,Matches
Kayky Chagas,br BRA,"FW,MF",20-166,4.6,109,144,75.7,1619,469,63,75,84.0,37,48,77.1,7,13,53.8,1,0.6,0.5,0.4,5,6,5,0,16,Matches
Ryan Carlos,br BRA,DF,21-283,6.4,311,408,76.2,5297,1901,143,161,88.8,133,163,81.6,29,59,49.2,1,0.5,0.4,0.5,6,29,14,5,42,Matches
Raul Bicalho,br BRA,DF,24-214,3.6,165,197,83.8,3243,1279,53,60,88.3,89,100,89.0,19,32,59.4,0,0.0,0.0,0.0,0,20,0,0,19,Matches
Luciano Juba,br BRA,"FW,DF",24-087,3.5,136,200,68.0,2250,865,71,81,87.7,44,66,66.7,16,36,44.4,0,0.6,0.8,-0.6,9,7,1,0,13,Matches
Arthur Sales,br BRA,"FW,MF",21-144,3.2,97,124,78.2,1271,229,63,69,91.3,26,36,72.2,4,6,66.7,0,0.3,0.4,-0.3,3,7,1,0,7,Matches
Lucas Mugni,ar ARG,"MF,FW",31-316,3.1,127,167,76.0,1868,676,66,76,86.8,48,60,80.0,6,19,31.6,0,0.3,0.2,-0.3,3,13,2,1,15,Matches
Léo Cittadini,br BRA,MF,29-270,1.5,73,85,85.9,1120,244,34,40,85.0,30,33,90.9,5,5,100.0,0,0.0,0.0,0.0,1,11,1,0,8,Matches
André,br BRA,DF,20-048,1.4,63,79,79.7,998,257,37,43,86.0,18,23,78.3,6,9,66.7,0,0.0,0.1,0.0,1,5,1,1,4,Matches
