Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Marcos Felipe,br BRA,GK,27-225,33.0,1155,1024,1152,1,2,1,1155,1,0,0.0,1,100.0,597,3061,1988,1,1,1,1,0,479,1,Matches
Thaciano,br BRA,"MF,FW",28-196,28.5,1292,38,223,727,355,80,1292,46,25,54.3,20,43.5,711,3352,1374,30,27,9,35,15,853,110,Matches
Kanu,br BRA,DF,26-262,28.4,1685,187,790,847,63,27,1685,17,14,82.4,2,11.8,1022,5778,3625,27,14,0,8,8,1114,7,Matches
Rezende,br BRA,"MF,DF",28-326,26.2,1537,82,502,879,175,27,1537,28,12,42.9,14,50.0,764,3964,1848,23,18,0,24,15,875,33,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28-070,24.4,1464,10,70,677,749,69,1464,117,71,60.7,40,34.2,883,5269,2786,94,84,24,55,51,1063,162,Matches
Everaldo Stum,br BRA,FW,32-142,22.8,668,17,37,334,308,92,667,34,14,41.2,17,50.0,338,1867,835,33,26,19,57,19,489,127,Matches
Vitor Hugo,br BRA,DF,32-188,20.2,1133,123,559,544,31,22,1133,0,0,,0,,658,4161,2428,20,6,0,7,1,742,2,Matches
Ademir Santos,br BRA,"FW,MF",28-281,18.4,800,4,75,347,399,44,800,81,36,44.4,34,42.0,514,4112,2235,77,46,13,38,26,567,165,Matches
Nicolás Acevedo,uy URU,MF,24-224,18.7,1301,34,312,827,174,13,1301,29,12,41.4,12,41.4,773,3623,1838,24,21,3,22,18,877,33,Matches
Gilberto,br BRA,DF,30-262,16.7,1195,39,287,602,323,19,1195,45,22,48.9,20,44.4,663,3621,1976,50,47,1,36,27,730,78,Matches
Camilo Cándido,uy URU,DF,28-175,13.5,847,32,205,389,265,17,847,27,11,40.7,14,51.9,448,1760,845,18,17,3,17,6,496,86,Matches
Yago,br BRA,MF,28-294,13.6,744,17,162,442,148,8,744,8,5,62.5,2,25.0,410,1608,728,10,14,0,14,12,486,32,Matches
Gabriel Teixeira,br BRA,"FW,MF",22-237,11.6,493,5,49,168,285,60,493,54,21,38.9,27,50.0,348,2192,1125,40,36,10,45,11,364,83,Matches
Gabriel,br BRA,DF,22-202,10.9,661,81,350,293,18,10,661,3,1,33.3,1,33.3,330,1790,1027,9,5,0,1,0,382,1,Matches
David Duarte,br BRA,DF,28-304,8.6,505,99,283,215,7,5,505,2,2,100.0,0,0.0,309,2283,1248,1,1,0,1,1,332,0,Matches
Cicinho,bg BUL,DF,34-333,8.2,485,31,133,241,115,8,485,30,14,46.7,10,33.3,232,1272,581,17,9,3,19,10,257,35,Matches
Rafael Ratão,br BRA,"FW,MF",27-359,8.5,429,3,52,185,198,23,429,28,11,39.3,16,57.1,233,1335,529,13,11,1,23,16,306,60,Matches
Vinicius Mingotti,br BRA,FW,23-321,7.2,129,4,11,65,56,20,129,2,1,50.0,1,50.0,63,294,139,2,3,1,10,5,83,23,Matches
Vítor Jacaré,br BRA,"DF,MF",24-031,9.4,589,17,120,251,229,20,589,35,23,65.7,10,28.6,298,1878,1021,27,10,5,14,7,329,62,Matches
Jhoanner Chávez,ec ECU,"DF,MF",21-213,6.5,406,13,104,188,117,13,406,13,7,53.8,5,38.5,205,834,461,12,8,2,18,4,243,49,Matches
Matheus Bahia,br BRA,"DF,MF",24-105,5.5,354,11,98,155,103,8,354,10,4,40.0,5,50.0,176,914,547,15,6,2,17,0,184,21,Matches
Kayky Chagas,br BRA,"FW,MF",20-166,4.6,212,6,34,87,95,15,212,22,12,54.5,10,45.5,127,792,424,16,13,6,14,7,141,33,Matches
