Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Marcos Felipe,br BRA,GK,27-225,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thaciano,br BRA,"MF,FW",28-196,28.5,3,56,14,25.0,1.97,0.49,0.05,0.21,17.2,0,0,0,7.0,7.0,0.13,-4.0,-4.0,Matches
Kanu,br BRA,DF,26-262,28.4,1,17,3,17.6,0.6,0.11,0.06,0.33,13.0,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
Rezende,br BRA,"MF,DF",28-326,26.2,1,17,3,17.6,0.65,0.11,0.06,0.33,14.9,0,0,0,0.8,0.8,0.04,0.2,0.2,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28-070,24.4,2,58,16,27.6,2.38,0.66,0.03,0.13,20.4,4,0,0,4.2,4.2,0.07,-2.2,-2.2,Matches
Everaldo Stum,br BRA,FW,32-142,22.8,8,54,21,38.9,2.37,0.92,0.13,0.33,14.8,0,1,1,5.8,5.1,0.09,2.2,1.9,Matches
Vitor Hugo,br BRA,DF,32-188,20.2,1,11,2,18.2,0.55,0.1,0.09,0.5,13.0,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Ademir Santos,br BRA,"FW,MF",28-281,18.4,3,32,13,40.6,1.74,0.71,0.09,0.23,18.9,1,0,0,5.5,5.5,0.17,-2.5,-2.5,Matches
Nicolás Acevedo,uy URU,MF,24-224,18.7,0,20,4,20.0,1.07,0.21,0.0,0.0,26.2,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
Gilberto,br BRA,DF,30-262,16.7,1,14,3,21.4,0.84,0.18,0.07,0.33,28.6,1,0,0,0.5,0.5,0.03,0.5,0.5,Matches
Camilo Cándido,uy URU,DF,28-175,13.5,1,10,4,40.0,0.74,0.3,0.1,0.25,25.1,1,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Yago,br BRA,MF,28-294,13.6,0,14,4,28.6,1.03,0.29,0.0,0.0,27.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Gabriel Teixeira,br BRA,"FW,MF",22-237,11.6,5,39,14,35.9,3.36,1.2,0.13,0.36,18.0,1,0,0,4.7,4.7,0.12,0.3,0.3,Matches
Gabriel,br BRA,DF,22-202,10.9,0,7,3,42.9,0.64,0.28,0.0,0.0,13.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
