Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Lucas Perri,br BRA,GK,25-349,33.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,19,3,Matches
Adryelson,br BRA,DF,25-246,30.3,33,19,22,10,1,16,25,64.0,9,42,30,12,55,88,190,2,Matches
Víctor Cuesta,ar ARG,DF,35-005,31.0,39,25,20,16,3,18,28,64.3,10,34,24,10,50,89,118,1,Matches
Marlon Freitas,br BRA,MF,28-242,29.1,38,28,22,15,1,19,48,39.6,29,38,11,27,38,76,58,0,Matches
Carlos Eduardo,br BRA,MF,34-038,27.8,16,9,3,12,1,8,26,30.8,18,10,0,10,11,27,19,0,Matches
Tchê Tchê,br BRA,MF,31-086,25.6,25,16,12,11,2,8,28,28.6,20,12,2,10,13,38,17,0,Matches
Tiquinho Soares,br BRA,FW,32-311,24.4,15,8,2,8,5,8,18,44.4,10,13,2,11,3,18,28,0,Matches
Júnior Santos,br BRA,FW,29-044,21.1,34,23,14,12,8,16,30,53.3,14,29,4,25,10,44,19,0,Matches
Leonel Di Plácido,ar ARG,DF,29-300,25.9,78,50,45,28,5,53,117,45.3,64,41,7,34,47,125,56,0,Matches
João Victor Santos Sá,br BRA,FW,29-242,20.8,53,32,16,28,9,26,56,46.4,30,22,5,17,24,77,12,0,Matches
Fernando Marçal,br BRA,DF,34-278,18.1,37,16,17,16,4,16,34,47.1,18,17,3,14,38,75,48,0,Matches
Hugo,br BRA,DF,22-065,13.7,53,30,33,17,3,26,49,53.1,23,9,1,8,20,73,36,0,Matches
Luis Henrique,br BRA,FW,21-345,13.4,4,3,1,2,1,2,7,28.6,5,15,0,15,3,7,8,0,Matches
Rafael,br BRA,DF,33-138,5.4,25,12,11,12,2,15,28,53.6,13,9,2,7,4,29,18,0,Matches
Danilo Barbosa,br BRA,MF,27-269,8.2,15,8,9,5,1,5,12,41.7,7,15,7,8,12,27,33,0,Matches
Gabriel,br BRA,MF,30-067,6.9,25,15,10,15,0,13,30,43.3,17,6,1,5,14,39,10,0,Matches
Lucas Fernandes,br BRA,MF,26-065,5.2,0,0,0,0,0,0,4,0.0,4,5,2,3,3,3,8,0,Matches
Gustavo Sauer,br BRA,"FW,MF",30-208,2.9,6,4,2,1,3,4,11,36.4,7,2,1,1,3,9,1,0,Matches
Diego Costa,es ESP,FW,35-048,5.4,7,5,2,3,2,0,1,0.0,1,4,0,4,3,10,4,0,Matches
Philipe Sampaio,br BRA,DF,29-013,4.5,9,7,6,3,0,4,6,66.7,2,3,2,1,6,15,33,0,Matches
Matias Segovia,py PAR,FW,20-324,7.2,21,18,10,11,0,15,32,46.9,17,4,1,3,8,29,7,0,Matches
JP Galvão,br BRA,DF,22-201,2.1,8,5,5,3,0,6,11,54.5,5,3,1,2,3,11,8,0,Matches
Janderson,br BRA,"FW,MF",24-202,3.3,8,5,2,3,3,2,5,40.0,3,2,0,2,1,9,3,0,Matches
Luis Segovia,ec ECU,DF,26-029,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Matheus Nascimento,br BRA,FW,19-266,0.9,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0,Matches
Bastos,ao ANG,DF,32-242,0.7,0,0,0,0,0,0,0,,0,3,1,2,0,0,3,0,Matches
Carlos Alberto,br BRA,"FW,MF",21-224,1.8,2,0,1,1,0,1,4,25.0,3,4,2,2,0,2,4,0,Matches
Daniel Borges,br BRA,DF,30-246,0.5,3,2,3,0,0,2,4,50.0,2,2,0,2,1,4,3,0,Matches
Gatito Fernández,py PAR,GK,35-240,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Diego Hernández,uy URU,FW,23-155,0.5,2,1,0,1,1,1,6,16.7,5,0,0,0,0,2,0,0,Matches
Kayque,br BRA,MF,23-135,0.3,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0,Matches
Mateo Ponte,uy URU,DF,20-184,0.2,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0,Matches
Lucas Piazon,br BRA,FW,29-308,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Breno,br BRA,MF,23-084,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Rai,br BRA,MF,21-217,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.4,34.0,559,343,268,235,56,285,622,45.8,337,348,109,239,372,931,770,6,
Opponent Total,,,28.3,34.0,567,376,251,253,63,289,645,44.8,356,341,127,214,307,874,628,10,
