Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Lucas Perri,br BRA,GK,25-349,33.5,3,0.09,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adryelson,br BRA,DF,25-246,30.3,12,0.4,11,0,0,0,0,1,2,0.07,1,0,0,0,0,1,Matches
Víctor Cuesta,ar ARG,DF,35-005,31.0,20,0.65,17,0,0,2,0,1,2,0.06,1,0,0,1,0,0,Matches
Marlon Freitas,br BRA,MF,28-242,29.1,70,2.4,60,1,1,6,1,1,4,0.14,3,0,0,1,0,0,Matches
Carlos Eduardo,br BRA,MF,34-038,27.8,74,2.67,54,8,3,2,7,0,9,0.32,7,2,0,0,0,0,Matches
Tchê Tchê,br BRA,MF,31-086,25.6,78,3.04,55,5,7,6,5,0,10,0.39,8,1,1,0,0,0,Matches
Tiquinho Soares,br BRA,FW,32-311,24.4,70,2.87,39,2,5,14,8,2,10,0.41,5,0,0,5,0,0,Matches
Júnior Santos,br BRA,FW,29-044,21.1,66,3.13,38,1,15,7,5,0,7,0.33,2,0,2,1,2,0,Matches
Leonel Di Plácido,ar ARG,DF,29-300,25.9,82,3.16,56,11,9,1,1,4,7,0.27,5,1,1,0,0,0,Matches
João Victor Santos Sá,br BRA,FW,29-242,20.8,62,2.98,45,1,8,3,4,1,10,0.48,5,1,2,1,1,0,Matches
Fernando Marçal,br BRA,DF,34-278,18.1,51,2.82,21,28,0,1,0,1,7,0.39,3,4,0,0,0,0,Matches
Hugo,br BRA,DF,22-065,13.7,27,1.97,20,7,0,0,0,0,2,0.15,2,0,0,0,0,0,Matches
Luis Henrique,br BRA,FW,21-345,13.4,50,3.71,40,0,8,1,1,0,7,0.52,3,0,3,0,1,0,Matches
Rafael,br BRA,DF,33-138,5.4,7,1.31,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Danilo Barbosa,br BRA,MF,27-269,8.2,10,1.21,10,0,0,0,0,0,3,0.36,3,0,0,0,0,0,Matches
Gabriel,br BRA,MF,30-067,6.9,22,3.04,16,1,2,2,0,1,2,0.28,2,0,0,0,0,0,Matches
Lucas Fernandes,br BRA,MF,26-065,5.2,17,3.3,7,6,0,3,1,0,1,0.19,1,0,0,0,0,0,Matches
Gustavo Sauer,br BRA,"FW,MF",30-208,2.9,12,4.17,8,2,1,0,1,0,2,0.69,0,1,0,0,1,0,Matches
Diego Costa,es ESP,FW,35-048,5.4,11,2.03,6,0,1,1,3,0,2,0.37,1,0,0,1,0,0,Matches
Philipe Sampaio,br BRA,DF,29-013,4.5,1,0.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matias Segovia,py PAR,FW,20-324,7.2,30,4.19,25,1,2,1,1,0,3,0.42,3,0,0,0,0,0,Matches
JP Galvão,br BRA,DF,22-201,2.1,6,2.9,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Janderson,br BRA,"FW,MF",24-202,3.3,13,3.91,11,0,2,0,0,0,2,0.6,2,0,0,0,0,0,Matches
Luis Segovia,ec ECU,DF,26-029,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matheus Nascimento,br BRA,FW,19-266,0.9,2,2.17,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bastos,ao ANG,DF,32-242,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Alberto,br BRA,"FW,MF",21-224,1.8,5,2.73,3,0,1,0,1,0,1,0.55,0,0,1,0,0,0,Matches
Daniel Borges,br BRA,DF,30-246,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gatito Fernández,py PAR,GK,35-240,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Hernández,uy URU,FW,23-155,0.5,1,2.2,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Kayque,br BRA,MF,23-135,0.3,2,6.67,2,0,0,0,0,0,1,3.33,1,0,0,0,0,0,Matches
Mateo Ponte,uy URU,DF,20-184,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Piazon,br BRA,FW,29-308,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Breno,br BRA,MF,23-084,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rai,br BRA,MF,21-217,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.4,34.0,804,23.65,560,77,65,51,39,12,94,2.76,58,10,10,10,5,1,
Opponent Total,,,28.3,34.0,801,23.56,580,64,55,48,42,12,54,1.59,33,3,8,7,2,1,
