Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Juninho Capixaba,br BRA,DF,26-141,29.2,61,46,25,25,11,31,80,38.8,49,41,11,30,76,137,81,3,Matches
Cleiton Schwengber,br BRA,GK,26-097,29.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,18,1,Matches
Lucas Evangelista,br BRA,MF,28-202,27.4,49,26,18,22,9,15,42,35.7,27,28,5,23,25,74,19,0,Matches
Matheus Fernandes,br BRA,MF,25-147,24.8,106,63,40,52,14,45,92,48.9,47,36,10,26,32,138,23,1,Matches
Eduardo Sasha,br BRA,"FW,MF",31-273,22.4,12,4,0,9,3,3,10,30.0,7,7,2,5,9,21,14,0,Matches
Vitinho,br BRA,"FW,MF",24-237,20.9,33,19,10,18,5,10,38,26.3,28,25,1,24,9,42,10,0,Matches
Jadsom,br BRA,MF,22-188,18.7,37,20,9,22,6,18,41,43.9,23,33,7,26,24,61,24,0,Matches
Aderlan Silva,br BRA,DF,33-098,15.8,54,31,30,21,3,31,70,44.3,39,21,2,19,26,80,26,0,Matches
Helinho,br BRA,"FW,MF",23-213,12.7,23,15,8,10,5,8,17,47.1,9,16,0,16,8,31,10,0,Matches
Leonardo Realpe,ec ECU,DF,22-271,15.6,20,8,13,6,1,10,21,47.6,11,10,7,3,22,42,63,0,Matches
Leo Ortiz,br BRA,DF,27-325,14.8,14,9,9,5,0,7,12,58.3,5,19,17,2,26,40,65,0,Matches
Eric Ramires,br BRA,MF,23-106,13.6,15,9,3,10,2,8,32,25.0,24,25,1,24,11,26,6,0,Matches
José Hurtado,ec ECU,DF,21-336,14.8,27,20,12,14,1,19,41,46.3,22,17,4,13,20,47,32,0,Matches
Luan Patrick,br BRA,DF,21-308,12.4,9,6,5,4,0,5,12,41.7,7,12,10,2,17,26,33,1,Matches
Eduardo Santos,br BRA,DF,25-361,11.3,15,9,10,4,1,10,13,76.9,3,19,15,4,14,29,51,1,Matches
Natan,br BRA,DF,22-291,9.3,6,5,5,1,0,4,7,57.1,3,15,10,5,9,15,30,1,Matches
Thiago Borbas,uy URU,FW,21-231,13.5,11,8,2,6,3,1,11,9.1,10,12,0,12,2,13,8,0,Matches
Marcos Vinicios Sorriso,br BRA,FW,22-274,9.9,21,15,5,11,5,5,13,38.5,8,17,0,17,7,28,6,0,Matches
Luan Cândido,br BRA,"DF,MF",22-295,9.0,14,10,8,4,2,6,11,54.5,5,20,7,13,9,23,29,0,Matches
Bruno,br BRA,"FW,MF",20-255,7.1,3,3,0,2,1,2,10,20.0,8,11,0,11,1,4,2,0,Matches
Henery Mosquera,co COL,"FW,MF",22-009,9.5,12,9,5,6,1,7,12,58.3,5,10,3,7,0,12,2,0,Matches
Lucão,br BRA,GK,22-271,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
Gustavinho,br BRA,"MF,FW",19-215,6.2,11,3,3,1,7,5,21,23.8,16,6,2,4,5,16,5,0,Matches
Matheus Gonçalves,br BRA,"FW,MF",18-098,4.6,7,3,2,1,4,6,10,60.0,4,6,0,6,0,7,1,0,Matches
Alerrandro,br BRA,FW,23-316,3.8,1,1,1,0,0,0,1,0.0,1,3,0,3,0,1,6,0,Matches
Lucão,br BRA,DF,25-244,2.2,3,1,3,0,0,1,1,100.0,0,0,0,0,5,8,6,0,Matches
Guilherme,br BRA,"DF,MF",21-283,2.4,5,3,2,1,2,3,3,100.0,0,3,0,3,3,8,10,0,Matches
Ignacio Laquintana,uy URU,FW,24-296,2.0,4,3,0,3,1,0,1,0.0,1,1,0,1,1,5,0,0,Matches
Talisson,br BRA,FW,21-187,1.7,4,1,2,1,1,2,2,100.0,0,2,1,1,2,6,2,0,Matches
Raul,br BRA,"MF,DF",27-136,1.2,3,0,2,0,1,2,3,66.7,1,2,1,1,1,4,2,0,Matches
Yani Quintero,co COL,MF,21-280,1.1,5,4,2,3,0,1,2,50.0,1,3,0,3,1,6,0,0,Matches
Cipriano,br BRA,DF,21-016,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,11,0,Matches
Nathan Camargo,br BRA,MF,18-122,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Bruno Praxedes,br BRA,MF,21-289,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.1,34.0,587,356,236,262,89,267,632,42.2,365,420,116,304,369,956,600,8,
Opponent Total,,,28.3,34.0,666,416,379,235,52,322,711,45.3,389,446,148,298,339,1005,775,13,
