Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Cássio,br BRA,GK,36-171,33.8,831.0,1036.0,80.2,22474.0,14766.0,169.0,169.0,100.0,373.0,380.0,98.2,281.0,479.0,58.7,0,0.1,0.0,-0.1,2.0,9.0,0.0,0.0,0.0,Matches
Gil,br BRA,DF,36-165,29.0,1146.0,1306.0,87.7,22115.0,8466.0,361.0,392.0,92.1,677.0,722.0,93.8,99.0,171.0,57.9,2,1.4,1.1,0.6,3.0,34.0,3.0,0.0,39.0,Matches
Yuri Alberto,br BRA,FW,22-251,27.9,381.0,538.0,70.8,4965.0,769.0,243.0,308.0,78.9,106.0,145.0,73.1,11.0,20.0,55.0,2,2.4,1.3,-0.4,20.0,18.0,6.0,0.0,27.0,Matches
Maycon,br BRA,MF,26-132,24.1,1065.0,1287.0,82.8,18676.0,5221.0,468.0,520.0,90.0,475.0,531.0,89.5,98.0,175.0,56.0,3,1.7,1.5,1.3,18.0,136.0,15.0,2.0,143.0,Matches
Bruno Méndez,uy URU,DF,24-075,18.0,778.0,975.0,79.8,14768.0,6045.0,291.0,329.0,88.4,390.0,462.0,84.4,88.0,153.0,57.5,0,0.2,0.4,-0.2,7.0,58.0,6.0,3.0,60.0,Matches
Fagner,br BRA,DF,34-166,19.3,971.0,1289.0,75.3,17330.0,8184.0,437.0,483.0,90.5,417.0,547.0,76.2,104.0,214.0,48.6,1,2.0,2.8,-1.0,37.0,106.0,31.0,14.0,113.0,Matches
Fábio Santos,br BRA,DF,38-069,16.6,832.0,1001.0,83.1,13002.0,5405.0,446.0,490.0,91.0,327.0,381.0,85.8,45.0,87.0,51.7,1,0.4,0.5,0.6,9.0,59.0,11.0,3.0,75.0,Matches
Matheus Bidu,br BRA,DF,24-204,16.4,757.0,964.0,78.5,12019.0,3971.0,433.0,464.0,93.3,253.0,325.0,77.8,55.0,126.0,43.7,0,1.3,1.3,-1.3,24.0,50.0,16.0,10.0,59.0,Matches
Giuliano de Paula,br BRA,"MF,FW",33-177,16.0,679.0,781.0,86.9,10325.0,2648.0,347.0,369.0,94.0,261.0,301.0,86.7,41.0,57.0,71.9,0,0.6,0.6,-0.6,14.0,60.0,7.0,0.0,82.0,Matches
Fausto Vera,ar ARG,MF,23-243,14.6,651.0,773.0,84.2,11182.0,2889.0,311.0,344.0,90.4,268.0,302.0,88.7,59.0,89.0,66.3,2,1.3,1.0,0.7,7.0,73.0,6.0,1.0,67.0,Matches
Roger Guedes,br BRA,"FW,MF",27-053,15.0,374.0,494.0,75.7,5623.0,1280.0,241.0,280.0,86.1,93.0,124.0,75.0,30.0,53.0,56.6,1,0.8,0.8,0.2,16.0,31.0,8.0,1.0,50.0,Matches
Murillo,br BRA,DF,21-143,12.9,566.0,700.0,80.9,11213.0,4368.0,178.0,202.0,88.1,326.0,365.0,89.3,56.0,118.0,47.5,0,0.6,0.3,-0.6,4.0,49.0,4.0,0.0,46.0,Matches
Renato Augusto,br BRA,MF,35-289,11.7,480.0,596.0,80.5,8091.0,2413.0,244.0,271.0,90.0,170.0,197.0,86.3,51.0,91.0,56.0,3,1.6,2.1,1.4,35.0,56.0,14.0,3.0,78.0,Matches
Gabriel Moscardo,br BRA,MF,18-057,10.6,362.0,434.0,83.4,6307.0,1258.0,156.0,178.0,87.6,167.0,190.0,87.9,33.0,45.0,73.3,0,0.0,0.3,0.0,1.0,26.0,4.0,1.0,21.0,Matches
Lucas Veríssimo,br BRA,DF,28-145,11.5,545.0,607.0,89.8,10202.0,4014.0,186.0,206.0,90.3,311.0,335.0,92.8,45.0,60.0,75.0,1,0.3,0.4,0.7,2.0,27.0,0.0,0.0,24.0,Matches
