Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Cássio,br BRA,GK,36-171,33.8,1095.0,969.0,1091.0,4.0,0.0,0.0,1095.0,0.0,0.0,,0.0,,510.0,3267.0,2262.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,Matches
Gil,br BRA,DF,36-165,29.0,1588.0,334.0,920.0,631.0,46.0,36.0,1588.0,5.0,1.0,20.0,4.0,80.0,907.0,3340.0,1457.0,4.0,6.0,0.0,3.0,2.0,1063.0,5.0,Matches
Yuri Alberto,br BRA,FW,22-251,27.9,848.0,22.0,61.0,402.0,393.0,127.0,848.0,49.0,23.0,46.9,20.0,40.8,487.0,2437.0,918.0,40.0,29.0,18.0,87.0,34.0,651.0,182.0,Matches
Maycon,br BRA,MF,26-132,24.1,1501.0,55.0,296.0,946.0,267.0,24.0,1501.0,17.0,9.0,52.9,8.0,47.1,818.0,3146.0,1693.0,28.0,15.0,5.0,23.0,14.0,1062.0,30.0,Matches
Bruno Méndez,uy URU,DF,24-075,18.0,1145.0,100.0,488.0,525.0,138.0,5.0,1145.0,4.0,1.0,25.0,2.0,50.0,584.0,2232.0,1195.0,16.0,13.0,1.0,7.0,5.0,710.0,22.0,Matches
Fagner,br BRA,DF,34-166,19.3,1472.0,84.0,476.0,693.0,319.0,14.0,1472.0,24.0,13.0,54.2,9.0,37.5,741.0,3251.0,1830.0,37.0,29.0,4.0,25.0,11.0,863.0,67.0,Matches
Fábio Santos,br BRA,DF,38-069,16.6,1146.0,77.0,382.0,515.0,261.0,12.0,1141.0,7.0,3.0,42.9,1.0,14.3,589.0,2631.0,1395.0,20.0,16.0,1.0,11.0,3.0,715.0,50.0,Matches
Matheus Bidu,br BRA,DF,24-204,16.4,1173.0,83.0,363.0,506.0,319.0,14.0,1173.0,35.0,13.0,37.1,16.0,45.7,606.0,3346.0,1905.0,44.0,26.0,2.0,19.0,8.0,645.0,85.0,Matches
Giuliano de Paula,br BRA,"MF,FW",33-177,16.0,918.0,26.0,169.0,575.0,179.0,19.0,918.0,20.0,11.0,55.0,6.0,30.0,502.0,1938.0,930.0,12.0,6.0,3.0,23.0,11.0,636.0,29.0,Matches
Fausto Vera,ar ARG,MF,23-243,14.6,945.0,45.0,290.0,560.0,105.0,8.0,945.0,17.0,9.0,52.9,7.0,41.2,552.0,2868.0,1464.0,15.0,17.0,1.0,15.0,14.0,653.0,13.0,Matches
Roger Guedes,br BRA,"FW,MF",27-053,15.0,646.0,14.0,64.0,293.0,298.0,66.0,644.0,41.0,16.0,39.0,20.0,48.8,436.0,2811.0,1295.0,38.0,28.0,17.0,25.0,13.0,517.0,100.0,Matches
Murillo,br BRA,DF,21-143,12.9,853.0,146.0,437.0,396.0,28.0,9.0,853.0,14.0,9.0,64.3,3.0,21.4,494.0,2162.0,1144.0,10.0,7.0,0.0,5.0,3.0,551.0,2.0,Matches
Renato Augusto,br BRA,MF,35-289,11.7,707.0,12.0,68.0,365.0,280.0,18.0,707.0,30.0,19.0,63.3,8.0,26.7,436.0,2279.0,1022.0,33.0,18.0,7.0,20.0,10.0,546.0,82.0,Matches
Gabriel Moscardo,br BRA,MF,18-057,10.6,590.0,41.0,168.0,372.0,62.0,3.0,590.0,32.0,19.0,59.4,12.0,37.5,308.0,1669.0,926.0,15.0,10.0,1.0,23.0,7.0,356.0,10.0,Matches
Lucas Veríssimo,br BRA,DF,28-145,11.5,728.0,117.0,392.0,307.0,30.0,18.0,728.0,3.0,1.0,33.3,2.0,66.7,401.0,1950.0,1143.0,4.0,2.0,0.0,6.0,0.0,499.0,3.0,Matches
Caetano,br BRA,DF,24-153,11.4,790.0,116.0,415.0,361.0,17.0,5.0,790.0,2.0,1.0,50.0,1.0,50.0,447.0,1537.0,852.0,1.0,3.0,1.0,2.0,0.0,574.0,0.0,Matches
Ruan Oliveira Ferreira,br BRA,"MF,FW",23-246,9.7,465.0,11.0,71.0,249.0,150.0,10.0,465.0,28.0,16.0,57.1,9.0,32.1,244.0,1526.0,754.0,22.0,14.0,1.0,19.0,10.0,287.0,44.0,Matches
Ángel Romero,py PAR,FW,31-143,9.7,513.0,14.0,80.0,200.0,236.0,26.0,513.0,44.0,9.0,20.5,33.0,75.0,316.0,1841.0,860.0,29.0,21.0,3.0,21.0,7.0,374.0,92.0,Matches
Adson,br BRA,"FW,MF",23-049,9.5,497.0,7.0,78.0,232.0,198.0,22.0,497.0,42.0,25.0,59.5,14.0,33.3,336.0,2594.0,1468.0,49.0,33.0,7.0,17.0,5.0,357.0,68.0,Matches
Wesley Ribeiro,br BRA,"FW,MF",18-264,8.0,365.0,9.0,48.0,156.0,173.0,20.0,365.0,89.0,39.0,43.8,34.0,38.2,271.0,2797.0,1396.0,49.0,41.0,10.0,31.0,11.0,273.0,71.0,Matches
Budiga Roni,br BRA,MF,24-223,7.5,489.0,22.0,135.0,315.0,40.0,2.0,489.0,3.0,2.0,66.7,1.0,33.3,288.0,1093.0,447.0,4.0,1.0,0.0,7.0,3.0,330.0,1.0,Matches
Matías Rojas,py PAR,"MF,FW",28-021,6.9,409.0,5.0,48.0,224.0,140.0,10.0,409.0,14.0,5.0,35.7,9.0,64.3,223.0,1059.0,460.0,13.0,5.0,3.0,13.0,10.0,297.0,27.0,Matches
Pedrinho Santos,br BRA,"FW,MF",17-292,6.4,274.0,3.0,39.0,112.0,128.0,16.0,274.0,38.0,17.0,44.7,17.0,44.7,179.0,1446.0,652.0,21.0,12.0,5.0,20.0,4.0,201.0,49.0,Matches
Guilherme Biro,br BRA,"FW,MF",19-218,5.6,256.0,3.0,42.0,112.0,109.0,12.0,256.0,20.0,8.0,40.0,10.0,50.0,165.0,1026.0,528.0,16.0,12.0,4.0,10.0,4.0,185.0,40.0,Matches
Matheus Araújo,br BRA,"MF,FW",21-186,4.5,259.0,10.0,59.0,114.0,89.0,13.0,259.0,10.0,5.0,50.0,2.0,20.0,145.0,728.0,388.0,15.0,3.0,5.0,12.0,7.0,169.0,30.0,Matches
Felipe Augusto,br BRA,"FW,MF",19-279,3.2,101.0,5.0,14.0,55.0,37.0,14.0,101.0,10.0,3.0,30.0,4.0,40.0,50.0,284.0,115.0,4.0,5.0,1.0,11.0,9.0,62.0,13.0,Matches
Du Queiroz,br BRA,"MF,DF",23-309,2.0,98.0,2.0,34.0,54.0,13.0,0.0,98.0,6.0,2.0,33.3,4.0,66.7,56.0,297.0,150.0,3.0,2.0,0.0,1.0,1.0,56.0,4.0,Matches
Léo Mana,br BRA,DF,19-232,1.5,119.0,7.0,30.0,66.0,25.0,1.0,119.0,3.0,1.0,33.3,2.0,66.7,65.0,306.0,194.0,3.0,1.0,0.0,2.0,0.0,84.0,10.0,Matches
Chrystian Barletta,br BRA,MF,22-142,1.4,,,,,,,,,,,,,,,,,,,,,,,Matches
Gustavo Mosquito,br BRA,"FW,MF",26-078,3.4,172.0,7.0,33.0,65.0,76.0,12.0,172.0,21.0,5.0,23.8,14.0,66.7,106.0,862.0,362.0,14.0,11.0,5.0,11.0,5.0,123.0,29.0,Matches
Paulinho,br BRA,"MF,FW",35-122,1.6,81.0,4.0,19.0,44.0,19.0,5.0,81.0,4.0,3.0,75.0,0.0,0.0,33.0,188.0,55.0,3.0,1.0,1.0,3.0,0.0,54.0,5.0,Matches
Víctor Cantillo,co COL,MF,30-040,1.6,104.0,5.0,47.0,55.0,4.0,0.0,104.0,1.0,0.0,0.0,1.0,100.0,59.0,240.0,110.0,1.0,1.0,0.0,0.0,0.0,61.0,0.0,Matches
Fabián Balbuena,py PAR,DF,32-093,1.0,70.0,10.0,48.0,22.0,1.0,1.0,70.0,0.0,0.0,,0.0,,29.0,172.0,113.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,Matches
Giovane,br BRA,FW,20-000,0.6,18.0,0.0,2.0,8.0,9.0,2.0,18.0,1.0,0.0,0.0,1.0,100.0,11.0,60.0,27.0,1.0,1.0,0.0,2.0,2.0,13.0,2.0,Matches
Carlos Miguel,br BRA,GK,25-046,0.2,10.0,8.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,,2.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Júnior Moraes,ua UKR,DF,36-234,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.1,34.0,20446.0,2373.0,6917.0,9534.0,4190.0,544.0,20439.0,634.0,288.0,45.4,274.0,43.2,11396.0,57405.0,29531.0,564.0,389.0,106.0,474.0,213.0,13363.0,1165.0,
Opponent Total,,,28.6,34.0,21673.0,1754.0,5355.0,10388.0,6157.0,761.0,21668.0,706.0,360.0,51.0,281.0,39.8,12575.0,69881.0,39166.0,739.0,581.0,131.0,503.0,278.0,14607.0,1576.0,
