Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Cássio,br BRA,GK,36-171,33.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Gil,br BRA,DF,36-165,29.0,2,25,12,48.0,0.86,0.41,0.08,0.17,11.2,0.0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches
Yuri Alberto,br BRA,FW,22-251,27.9,8,78,27,34.6,2.8,0.97,0.1,0.3,14.6,0.0,0,0,9.4,9.4,0.12,-1.4,-1.4,Matches
Maycon,br BRA,MF,26-132,24.1,2,20,8,40.0,0.83,0.33,0.1,0.25,23.0,0.0,0,0,1.3,1.3,0.07,0.7,0.7,Matches
Bruno Méndez,uy URU,DF,24-075,18.0,0,4,0,0.0,0.22,0.0,0.0,,18.4,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Fagner,br BRA,DF,34-166,19.3,0,6,1,16.7,0.31,0.05,0.0,0.0,26.9,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Fábio Santos,br BRA,DF,38-069,16.6,4,1,0,0.0,0.06,0.0,0.0,,82.9,0.0,4,5,3.9,0.0,0.03,0.1,0.0,Matches
Matheus Bidu,br BRA,DF,24-204,16.4,0,15,6,40.0,0.92,0.37,0.0,0.0,24.9,0.0,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches
Giuliano de Paula,br BRA,"MF,FW",33-177,16.0,2,18,5,27.8,1.12,0.31,0.11,0.4,19.5,0.0,0,0,1.2,1.2,0.07,0.8,0.8,Matches
Fausto Vera,ar ARG,MF,23-243,14.6,0,18,4,22.2,1.23,0.27,0.0,0.0,26.2,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Roger Guedes,br BRA,"FW,MF",27-053,15.0,7,45,16,35.6,3.0,1.07,0.11,0.31,17.8,7.0,2,2,6.6,5.1,0.11,0.4,-0.1,Matches
Murillo,br BRA,DF,21-143,12.9,0,7,1,14.3,0.54,0.08,0.0,0.0,16.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Renato Augusto,br BRA,MF,35-289,11.7,1,23,10,43.5,1.97,0.86,0.04,0.1,23.8,0.0,0,0,0.8,0.8,0.04,0.2,0.2,Matches
Gabriel Moscardo,br BRA,MF,18-057,10.6,0,6,1,16.7,0.57,0.09,0.0,0.0,23.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Lucas Veríssimo,br BRA,DF,28-145,11.5,1,11,3,27.3,0.96,0.26,0.09,0.33,10.6,0.0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Caetano,br BRA,DF,24-153,11.4,0,2,0,0.0,0.18,0.0,0.0,,6.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Ruan Oliveira Ferreira,br BRA,"MF,FW",23-246,9.7,2,15,6,40.0,1.55,0.62,0.13,0.33,28.6,3.0,0,0,0.5,0.5,0.03,1.5,1.5,Matches
Ángel Romero,py PAR,FW,31-143,9.7,4,18,7,38.9,1.86,0.72,0.22,0.57,15.6,0.0,0,0,2.4,2.4,0.13,1.6,1.6,Matches
Adson,br BRA,"FW,MF",23-049,9.5,0,10,3,30.0,1.05,0.32,0.0,0.0,24.1,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Wesley Ribeiro,br BRA,"FW,MF",18-264,8.0,1,14,5,35.7,1.75,0.62,0.07,0.2,21.1,0.0,0,0,0.4,0.4,0.03,0.6,0.6,Matches
Budiga Roni,br BRA,MF,24-223,7.5,0,3,1,33.3,0.4,0.13,0.0,0.0,24.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Matías Rojas,py PAR,"MF,FW",28-021,6.9,0,23,8,34.8,3.35,1.17,0.0,0.0,32.3,6.0,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches
Pedrinho Santos,br BRA,"FW,MF",17-292,6.4,1,7,4,57.1,1.09,0.62,0.14,0.25,15.5,0.0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
Guilherme Biro,br BRA,"FW,MF",19-218,5.6,0,12,2,16.7,2.14,0.36,0.0,0.0,20.9,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Matheus Araújo,br BRA,"MF,FW",21-186,4.5,1,3,2,66.7,0.66,0.44,0.33,0.5,16.4,0.0,0,0,0.7,0.7,0.24,0.3,0.3,Matches
Felipe Augusto,br BRA,"FW,MF",19-279,3.2,0,7,3,42.9,2.2,0.94,0.0,0.0,23.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Du Queiroz,br BRA,"MF,DF",23-309,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Léo Mana,br BRA,DF,19-232,1.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Chrystian Barletta,br BRA,MF,22-142,1.4,0,3,1,33.3,2.13,0.71,0.0,0.0,,,0,0,,,,,,Matches
Gustavo Mosquito,br BRA,"FW,MF",26-078,3.4,1,3,2,66.7,0.88,0.58,0.33,0.5,16.1,0.0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
Paulinho,br BRA,"MF,FW",35-122,1.6,0,2,0,0.0,1.22,0.0,0.0,,16.7,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Víctor Cantillo,co COL,MF,30-040,1.6,0,2,1,50.0,1.24,0.62,0.0,0.0,32.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Fabián Balbuena,py PAR,DF,32-093,1.0,0,1,0,0.0,1.01,0.0,0.0,,11.2,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Giovane,br BRA,FW,20-000,0.6,0,3,0,0.0,4.91,0.0,0.0,,12.9,0.0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Carlos Miguel,br BRA,GK,25-046,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Júnior Moraes,ua UKR,DF,36-234,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.1,34.0,37,405,139,34.3,11.91,4.09,0.08,0.22,19.6,17.0,6,7,35.5,30.1,0.08,1.5,0.9,
Opponent Total,,,28.6,34.0,38,566,160,28.3,16.65,4.71,0.06,0.21,20.4,23.0,4,5,43.6,39.7,0.07,-5.6,-5.7,
