Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Gabriel,br BRA,GK,31-058,30.7,1098,950,1090,8,0,0,1098,0,0,,0,,543,2839,1589,0,0,0,1,0,378,0,Matches
Robson,br BRA,"MF,FW",32-178,24.7,1006,39,178,448,390,71,998,46,17,37.0,22,47.8,536,2562,1191,32,22,6,48,35,656,139,Matches
Natanael,br BRA,DF,21-323,23.8,1359,76,465,559,353,25,1359,40,17,42.5,19,47.5,617,3638,1756,36,30,4,37,24,631,104,Matches
Marcelino Moreno,ar ARG,MF,29-152,23.6,1202,6,115,544,581,48,1202,186,85,45.7,75,40.3,817,5877,2844,90,73,24,81,46,827,175,Matches
Bruno Gomes,br BRA,MF,22-234,22.7,1128,29,227,615,305,39,1128,62,30,48.4,25,40.3,617,3670,1816,45,32,12,42,22,725,55,Matches
Henrique,br BRA,DF,37-041,22.5,941,195,569,362,18,11,941,2,2,100.0,0,0.0,485,2559,1445,3,3,0,4,3,534,0,Matches
Jamerson,br BRA,"DF,FW",25-076,19.5,1084,59,379,471,260,13,1084,82,49,59.8,29,35.4,562,3770,2089,50,35,6,23,12,514,63,Matches
Benjamín Kuscevic,cl CHI,DF,27-206,19.5,1090,159,624,449,27,11,1090,8,7,87.5,1,12.5,620,2861,1376,6,4,1,11,1,652,5,Matches
Victor Luis,br BRA,DF,30-154,16.4,977,69,341,457,192,6,977,9,3,33.3,5,55.6,487,2908,1485,26,24,0,12,8,519,28,Matches
Matheus Bianqui,br BRA,MF,25-297,13.2,556,39,153,296,116,24,556,14,7,50.0,5,35.7,269,909,379,8,6,2,22,12,285,32,Matches
Sebastián Gómez,co COL,MF,27-174,13.1,587,13,115,358,121,12,587,17,4,23.5,12,70.6,340,1531,676,15,6,1,23,6,362,32,Matches
Islam Slimani,dz ALG,FW,35-159,9.1,305,15,24,151,131,39,305,5,2,40.0,3,60.0,164,592,187,3,2,1,25,14,230,40,Matches
Bruno Viana,br BRA,DF,28-292,9.0,515,72,260,245,10,3,515,1,1,100.0,0,0.0,274,1311,707,4,3,0,1,0,312,1,Matches
Alef Manga,br BRA,"FW,MF",28-360,8.9,340,3,33,124,189,42,339,27,17,63.0,8,29.6,195,1591,819,25,17,13,19,10,246,75,Matches
Willian Farias,br BRA,MF,34-171,8.8,455,24,121,294,47,1,455,16,13,81.3,3,18.8,244,1323,574,6,2,0,9,6,269,2,Matches
Andrey Ramos do Nascimento,br BRA,MF,25-282,10.1,680,37,176,397,124,6,680,8,5,62.5,2,25.0,352,1810,908,14,13,3,13,5,416,14,Matches
Liziero,br BRA,MF,25-290,6.5,366,12,81,232,58,3,366,15,10,66.7,4,26.7,199,826,355,2,7,0,6,4,238,6,Matches
Diogo,br BRA,"FW,MF",26-355,7.1,236,4,25,120,92,23,236,11,5,45.5,5,45.5,109,465,146,6,3,1,18,7,141,25,Matches
Thalisson Gabriel,br BRA,DF,21-308,7.0,380,58,216,154,11,2,380,4,4,100.0,0,0.0,195,921,569,3,2,1,6,0,230,1,Matches
Zé Roberto,br BRA,"FW,MF",30-071,5.8,200,7,14,100,89,14,200,9,2,22.2,6,66.7,118,513,179,7,10,0,16,14,150,27,Matches
Kaio,br BRA,"MF,FW",19-282,7.2,309,7,64,114,137,8,309,43,13,30.2,18,41.9,217,1683,851,27,24,1,21,13,218,52,Matches
Jean Pedroso,br BRA,DF,19-300,6.5,332,33,146,183,5,1,332,4,4,100.0,0,0.0,203,1043,641,4,2,0,1,1,212,0,Matches
Thiago Dombroski,br BRA,DF,21-157,5.1,272,30,127,144,3,1,272,2,1,50.0,0,0.0,155,893,540,4,2,0,3,1,185,0,Matches
Rodrigo Pinho,br BRA,FW,32-178,4.3,118,6,15,63,42,11,118,8,2,25.0,3,37.5,59,271,122,4,5,1,7,5,78,11,Matches
Fransérgio,br BRA,MF,33-037,5.9,356,24,84,241,34,6,356,7,6,85.7,1,14.3,210,1121,584,12,5,1,3,2,229,9,Matches
Diogo Batista,br BRA,"DF,MF",20-087,4.7,293,18,102,137,57,6,293,7,2,28.6,3,42.9,158,719,441,8,6,2,7,5,169,13,Matches
Andreas Samaris,gr GRE,MF,34-164,2.0,108,4,35,65,8,2,108,0,0,,0,,54,208,77,1,0,0,3,1,68,0,Matches
Maurício Garcez,br BRA,"MF,FW",26-253,5.4,180,11,24,75,85,20,180,14,9,64.3,5,35.7,98,576,325,11,5,3,15,7,120,28,Matches
Gabriel Boschilia,br BRA,"MF,FW",27-264,3.8,245,4,33,137,79,6,245,17,11,64.7,4,23.5,158,867,343,10,8,2,11,6,167,20,Matches
Jhon Chancellor,ve VEN,DF,31-326,3.4,139,35,90,48,1,1,139,0,0,,0,,65,262,119,0,0,0,0,0,83,0,Matches
Hayner,br BRA,DF,28-053,3.3,185,10,54,78,56,2,185,19,11,57.9,5,26.3,100,903,505,14,13,0,7,2,99,12,Matches
Luan Polli,br BRA,GK,30-232,3.3,85,69,85,0,0,0,85,0,0,,0,,41,216,171,0,0,0,2,0,22,0,Matches
Júnior Urso,br BRA,MF,34-259,3.3,160,5,29,106,27,6,160,11,5,45.5,2,18.2,101,485,237,4,4,2,5,5,118,4,Matches
Reynaldo Cesar Moraes,br BRA,DF,26-325,2.1,92,24,60,32,1,1,92,0,0,,0,,39,143,49,0,0,0,1,0,41,0,Matches
Edu,br BRA,"FW,MF",30-264,2.0,66,1,2,28,37,9,66,3,1,33.3,2,66.7,42,156,65,3,4,1,2,5,50,10,Matches
Marcos Vinicius,br BRA,"DF,MF",26-243,1.9,105,9,45,45,17,0,105,4,3,75.0,1,25.0,40,209,114,3,1,0,1,1,39,2,Matches
William Pottker,br BRA,"FW,MF",29-337,1.3,62,1,19,25,19,3,62,7,2,28.6,4,57.1,40,323,129,4,1,0,6,5,43,8,Matches
Maurício Antônio,br BRA,DF,31-291,1.0,63,12,38,22,3,2,63,0,0,,0,,40,162,59,0,0,0,3,0,40,0,Matches
Gustavo Vilar,br BRA,DF,23-220,1.0,64,4,28,35,1,0,64,0,0,,0,,35,123,47,0,0,0,0,0,46,0,Matches
Lucas Barbosa,br BRA,"MF,FW",22-275,1.1,76,5,9,34,34,3,76,5,1,20.0,3,60.0,43,133,43,1,3,0,4,1,47,10,Matches
