Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Gabriel,br BRA,GK,31-058,31,31,2765.0,30.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches
Robson,br BRA,"MF,FW",32-178,30,28,2226.0,24.7,12.0,4.0,16.0,5.0,7.0,8.0,12.0,0.0,10.6,4.2,2.1,6.4,32.0,65.0,139.0,0.49,0.16,0.65,0.2,0.36,0.43,0.09,0.51,0.17,0.26,Matches
Natanael,br BRA,DF,21-323,29,25,2146.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,0.6,1.3,36.0,68.0,104.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Marcelino Moreno,ar ARG,MF,29-152,29,25,2126.0,23.6,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,4.9,6.4,90.0,96.0,175.0,0.08,0.17,0.25,0.08,0.25,0.07,0.21,0.27,0.07,0.27,Matches
Bruno Gomes,br BRA,MF,22-234,27,24,2047.0,22.7,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,2.1,2.1,1.9,4.0,45.0,109.0,55.0,0.13,0.0,0.13,0.13,0.13,0.09,0.08,0.18,0.09,0.18,Matches
Henrique,br BRA,DF,37-041,24,23,2024.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,0.0,0.5,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Jamerson,br BRA,"DF,FW",25-076,27,20,1759.0,19.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.7,2.1,50.0,62.0,63.0,0.0,0.05,0.05,0.0,0.05,0.02,0.09,0.11,0.02,0.11,Matches
Benjamín Kuscevic,cl CHI,DF,27-206,20,20,1755.0,19.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.9,0.9,0.0,1.0,6.0,48.0,5.0,0.1,0.0,0.1,0.1,0.1,0.05,0.0,0.05,0.05,0.05,Matches
Victor Luis,br BRA,DF,30-154,23,16,1478.0,16.4,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,1.6,2.4,26.0,65.0,28.0,0.12,0.06,0.18,0.12,0.18,0.05,0.09,0.15,0.05,0.15,Matches
Matheus Bianqui,br BRA,MF,25-297,24,15,1192.0,13.2,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,1.4,1.4,1.3,2.6,8.0,34.0,32.0,0.15,0.08,0.23,0.15,0.23,0.1,0.1,0.2,0.1,0.2,Matches
Sebastián Gómez,co COL,MF,27-174,17,15,1179.0,13.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.4,1.1,15.0,39.0,32.0,0.15,0.08,0.23,0.15,0.23,0.05,0.03,0.08,0.05,0.08,Matches
Islam Slimani,dz ALG,FW,35-159,11,10,817.0,9.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,2.2,2.2,1.3,3.5,3.0,12.0,40.0,0.33,0.22,0.55,0.33,0.55,0.24,0.14,0.39,0.24,0.39,Matches
Bruno Viana,br BRA,DF,28-292,10,9,811.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.0,0.3,4.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Alef Manga,br BRA,"FW,MF",28-360,10,9,804.0,8.9,4.0,3.0,7.0,3.0,1.0,1.0,3.0,0.0,3.8,3.0,1.0,4.0,25.0,17.0,75.0,0.45,0.34,0.78,0.34,0.67,0.42,0.11,0.54,0.33,0.45,Matches
Willian Farias,br BRA,MF,34-171,12,9,795.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.0,0.3,6.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Andrey Ramos do Nascimento,br BRA,MF,25-282,22,8,908.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.6,1.1,14.0,73.0,14.0,0.1,0.0,0.1,0.1,0.1,0.06,0.06,0.11,0.06,0.11,Matches
Liziero,br BRA,MF,25-290,10,8,586.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,2.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Diogo,br BRA,"FW,MF",26-355,13,7,641.0,7.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.9,1.9,0.2,2.1,6.0,7.0,25.0,0.14,0.14,0.28,0.14,0.28,0.27,0.03,0.3,0.27,0.3,Matches
Thalisson Gabriel,br BRA,DF,21-308,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zé Roberto,br BRA,"FW,MF",30-071,10,7,523.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.4,0.4,0.7,1.1,7.0,14.0,27.0,0.17,0.17,0.34,0.17,0.34,0.06,0.13,0.19,0.06,0.19,Matches
Kaio,br BRA,"MF,FW",19-282,21,6,644.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.8,27.0,25.0,52.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches
Jean Pedroso,br BRA,DF,19-300,7,6,584.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Thiago Dombroski,br BRA,DF,21-157,6,6,459.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Pinho,br BRA,FW,32-178,10,5,385.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,0.25,0.21,0.25,Matches
Fransérgio,br BRA,MF,33-037,15,4,534.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,12.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches
