Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Rafael Cabral,br BRA,GK,33-188,33.0,1078,702,374,107,0,0,0,0,0,0,0,0,849,2,0,Matches
Marlon,br BRA,DF,26-188,31.7,2000,1611,383,41,1,27,156,312,30,16,6,0,1531,6,54,Matches
Luciano Castán,br BRA,DF,34-072,31.7,1702,1612,87,79,0,14,2,3,0,0,0,0,1456,3,12,Matches
William,br BRA,DF,28-235,26.4,1445,1132,308,36,5,14,120,267,5,0,3,0,1057,5,50,Matches
Bruno Nascimento,br BRA,"FW,MF",26-262,27.6,883,811,66,10,2,8,73,15,31,14,4,1,629,6,32,Matches
Mateus Vital,br BRA,MF,25-285,20.0,879,831,47,24,3,13,42,13,4,1,1,0,739,1,29,Matches
Neris,br BRA,DF,31-160,20.6,868,830,33,32,0,10,3,1,0,0,0,0,718,5,5,Matches
Jussa,br BRA,MF,27-247,19.6,801,773,24,20,1,4,3,4,0,0,0,0,666,4,13,Matches
Wesley,br BRA,"FW,MF",24-239,19.0,560,547,10,0,2,5,41,10,0,0,0,0,376,3,26,Matches
Machado,br BRA,MF,27-308,23.8,1212,1103,105,41,1,18,61,6,58,22,23,0,1005,4,12,Matches
Lucas Silva,br BRA,MF,30-281,13.8,789,703,82,27,4,7,66,0,52,18,29,0,638,4,14,Matches
Lucas Oliveira,br BRA,DF,27-295,14.6,782,736,43,42,1,3,2,0,0,0,0,0,645,3,5,Matches
Arthur,br BRA,"FW,MF",25-144,12.8,374,366,7,0,1,2,29,4,2,1,0,0,273,1,12,Matches
Gilberto,br BRA,FW,34-172,12.1,266,238,25,0,1,2,6,1,0,0,0,0,200,3,12,Matches
Matheus Pereira,pt POR,"FW,MF",27-203,7.6,398,347,48,21,7,6,35,5,17,2,12,0,291,3,11,Matches
Nikão,br BRA,"FW,MF",31-118,8.3,354,314,39,4,3,5,39,5,28,14,10,0,262,1,12,Matches
Rafael Elias,br BRA,FW,24-226,5.6,99,90,9,0,4,1,5,2,0,0,0,0,65,0,3,Matches
Neto Moura,br BRA,MF,27-110,5.5,261,252,7,3,2,1,4,4,0,0,0,0,221,2,7,Matches
Ramiro Benetti,br BRA,MF,30-186,4.5,250,241,9,3,0,2,4,5,0,0,0,0,211,0,6,Matches
Helibelton Palacios,co COL,DF,30-166,6.0,249,194,53,2,0,0,13,51,0,0,0,0,184,2,12,Matches
Richard,br BRA,MF,29-279,3.8,253,246,6,6,0,3,2,0,0,0,0,0,223,1,3,Matches
Ian Luccas,br BRA,MF,20-286,3.3,76,75,1,1,1,0,1,0,0,0,0,0,54,0,0,Matches
Kaiki,br BRA,"DF,FW",20-261,2.4,99,60,39,2,1,0,3,37,0,0,0,0,68,0,5,Matches
Wallisson Luiz,br BRA,MF,26-062,4.4,161,156,3,3,0,0,1,0,0,0,0,0,128,2,6,Matches
Henrique Dourado,br BRA,FW,34-070,3.8,64,60,4,0,1,0,2,0,0,0,0,0,44,0,3,Matches
Stênio Toledo,br BRA,"FW,MF",20-233,3.2,116,111,5,0,1,2,8,5,0,0,0,0,87,0,8,Matches
Igor Marques,br BRA,DF,24-320,1.3,83,70,12,0,0,0,8,12,0,0,0,0,56,1,5,Matches
Robert,br BRA,"MF,FW",18-225,1.2,24,23,1,0,1,0,0,1,0,0,0,0,18,0,0,Matches
Anderson,br BRA,GK,25-264,1.0,18,15,3,0,0,0,0,0,0,0,0,0,14,0,0,Matches
Rafael Bilu,br BRA,FW,24-217,1.0,36,35,0,0,0,1,1,0,0,0,0,0,29,1,2,Matches
Reynaldo Cesar Moraes,br BRA,DF,26-325,0.7,32,31,1,1,0,0,0,0,0,0,0,0,26,0,0,Matches
Paulo Vitor,br BRA,"MF,DF",24-153,1.4,76,71,5,0,0,0,8,5,0,0,0,0,67,0,4,Matches
João Wellington,br BRA,"MF,DF",19-326,0.9,29,21,8,1,0,0,0,7,0,0,0,0,23,0,0,Matches
João Marcelo,br BRA,DF,23-164,0.6,35,34,1,1,0,0,0,0,0,0,0,0,31,0,0,Matches
Daniel,br BRA,MF,21-199,0.3,33,31,2,1,0,0,1,1,0,0,0,0,30,0,0,Matches
Fernando Henrique,br BRA,MF,22-176,0.2,12,11,1,0,0,0,0,0,1,0,0,0,9,0,0,Matches
Luis,br BRA,FW,18-226,0.1,5,5,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
Squad Total,,,28.8,34.0,16402,14488,1851,508,43,148,740,776,228,88,88,1,12925,63,363,
Opponent Total,,,28.3,34.0,15468,13537,1822,558,35,132,593,736,144,67,62,0,12073,109,322,
