Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Rafael Cabral,br BRA,GK,33-188,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marlon,br BRA,DF,26-188,31.7,3,21,5,23.8,0.66,0.16,0.14,0.6,25.9,6,0,0,1.2,1.2,0.06,1.8,1.8,Matches
Luciano Castán,br BRA,DF,34-072,31.7,1,23,8,34.8,0.73,0.25,0.04,0.13,11.8,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
William,br BRA,DF,28-235,26.4,0,19,3,15.8,0.72,0.11,0.0,0.0,22.0,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Bruno Nascimento,br BRA,"FW,MF",26-262,27.6,8,69,23,33.3,2.5,0.83,0.09,0.26,21.7,8,2,3,8.3,5.9,0.09,-0.3,0.1,Matches
Mateus Vital,br BRA,MF,25-285,20.0,0,33,8,24.2,1.65,0.4,0.0,0.0,20.3,0,0,0,1.9,1.9,0.06,-1.9,-1.9,Matches
Neris,br BRA,DF,31-160,20.6,0,15,4,26.7,0.73,0.19,0.0,0.0,11.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Jussa,br BRA,MF,27-247,19.6,1,21,9,42.9,1.07,0.46,0.05,0.11,23.0,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Wesley,br BRA,"FW,MF",24-239,19.0,4,44,15,34.1,2.31,0.79,0.09,0.27,15.3,0,0,0,4.2,4.2,0.1,-0.2,-0.2,Matches
Machado,br BRA,MF,27-308,23.8,1,30,9,30.0,1.26,0.38,0.03,0.11,25.0,5,0,0,2.0,2.0,0.07,-1.0,-1.0,Matches
Lucas Silva,br BRA,MF,30-281,13.8,0,14,4,28.6,1.01,0.29,0.0,0.0,27.3,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Lucas Oliveira,br BRA,DF,27-295,14.6,1,4,1,25.0,0.27,0.07,0.25,1.0,14.3,0,0,0,0.4,0.4,0.1,0.6,0.6,Matches
Arthur,br BRA,"FW,MF",25-144,12.8,3,26,9,34.6,2.03,0.7,0.12,0.33,20.5,0,0,0,2.4,2.4,0.09,0.6,0.6,Matches
Gilberto,br BRA,FW,34-172,12.1,3,35,9,25.7,2.88,0.74,0.09,0.33,15.3,0,0,0,3.7,3.7,0.1,-0.7,-0.7,Matches
Matheus Pereira,pt POR,"FW,MF",27-203,7.6,0,10,3,30.0,1.32,0.39,0.0,0.0,20.5,4,0,0,1.0,1.0,0.1,-1.0,-1.0,Matches
Nikão,br BRA,"FW,MF",31-118,8.3,1,15,3,20.0,1.8,0.36,0.07,0.33,21.6,0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
Rafael Elias,br BRA,FW,24-226,5.6,1,15,6,40.0,2.68,1.07,0.07,0.17,14.6,0,0,0,2.4,2.4,0.16,-1.4,-1.4,Matches
Neto Moura,br BRA,MF,27-110,5.5,0,7,1,14.3,1.26,0.18,0.0,0.0,22.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Ramiro Benetti,br BRA,MF,30-186,4.5,1,6,2,33.3,1.33,0.44,0.17,0.5,18.5,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches
Helibelton Palacios,co COL,DF,30-166,6.0,0,2,0,0.0,0.33,0.0,0.0,,14.1,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
Richard,br BRA,MF,29-279,3.8,0,4,1,25.0,1.04,0.26,0.0,0.0,13.4,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Ian Luccas,br BRA,MF,20-286,3.3,0,3,1,33.3,0.91,0.3,0.0,0.0,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Kaiki,br BRA,"DF,FW",20-261,2.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wallisson Luiz,br BRA,MF,26-062,4.4,0,13,3,23.1,2.98,0.69,0.0,0.0,16.3,0,0,0,1.5,1.5,0.11,-1.5,-1.5,Matches
Henrique Dourado,br BRA,FW,34-070,3.8,1,14,3,21.4,3.68,0.79,0.07,0.33,13.6,0,0,0,2.3,2.3,0.17,-1.3,-1.3,Matches
Stênio Toledo,br BRA,"FW,MF",20-233,3.2,0,7,4,57.1,2.16,1.23,0.0,0.0,15.5,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches
Igor Marques,br BRA,DF,24-320,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robert,br BRA,"MF,FW",18-225,1.2,0,6,2,33.3,5.0,1.67,0.0,0.0,12.8,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
Anderson,br BRA,GK,25-264,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rafael Bilu,br BRA,FW,24-217,1.0,0,4,0,0.0,4.19,0.0,0.0,,19.0,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
Reynaldo Cesar Moraes,br BRA,DF,26-325,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paulo Vitor,br BRA,"MF,DF",24-153,1.4,0,1,1,100.0,0.72,0.72,0.0,0.0,26.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
João Wellington,br BRA,"MF,DF",19-326,0.9,0,2,1,50.0,2.22,1.11,0.0,0.0,24.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
João Marcelo,br BRA,DF,23-164,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel,br BRA,MF,21-199,0.3,0,2,0,0.0,7.5,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Fernando Henrique,br BRA,MF,22-176,0.2,0,2,1,50.0,8.18,4.09,0.0,0.0,33.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Luis,br BRA,FW,18-226,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.8,34.0,29,467,139,29.8,13.74,4.09,0.06,0.19,19.3,25,2,3,40.9,38.5,0.08,-11.9,-11.5,
Opponent Total,,,28.3,34.0,30,374,125,33.4,11.0,3.68,0.07,0.22,18.2,16,2,3,38.0,35.6,0.1,-8.0,-7.6,
