Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Walter,br BRA,GK,36-006,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marllon Borges,br BRA,DF,31-222,32.0,1,13,4,30.8,0.41,0.12,0.08,0.25,9.0,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
Deyverson,br BRA,FW,32-200,30.2,12,64,28,43.8,2.12,0.93,0.14,0.32,13.4,3,3,4,11.9,9.0,0.14,0.1,0.0,Matches
Alan Empereur,br BRA,DF,29-259,29.8,1,12,4,33.3,0.4,0.13,0.08,0.25,19.5,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
Raniele,br BRA,MF,26-328,28.5,3,48,12,25.0,1.68,0.42,0.06,0.25,24.1,0,0,0,2.7,2.7,0.06,0.3,0.3,Matches
Matheus Alexandre,br BRA,DF,24-231,29.3,1,8,2,25.0,0.27,0.07,0.13,0.5,18.9,0,0,0,0.8,0.8,0.1,0.2,0.2,Matches
Rikelme,br BRA,DF,20-131,23.4,1,21,6,28.6,0.9,0.26,0.05,0.17,23.5,0,0,0,0.6,0.6,0.03,0.4,0.4,Matches
Fernando Sobral,br BRA,MF,28-342,19.8,2,36,12,33.3,1.82,0.61,0.06,0.17,26.1,3,0,0,1.6,1.6,0.04,0.4,0.4,Matches
Denilson,br BRA,MF,22-246,18.6,1,30,9,30.0,1.61,0.48,0.03,0.11,25.9,1,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches
Jonathan Cafu,br BRA,"FW,MF",32-137,16.4,0,14,4,28.6,0.85,0.24,0.0,0.0,17.1,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Clayson,br BRA,FW,28-250,14.7,4,27,5,18.5,1.83,0.34,0.11,0.6,20.5,1,1,1,2.7,1.9,0.07,1.3,1.1,Matches
Wellington Silva,br BRA,FW,30-322,14.7,1,20,6,30.0,1.36,0.41,0.05,0.17,18.3,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Pablo Ceppelini,uy URU,MF,32-074,11.1,0,20,8,40.0,1.81,0.72,0.0,0.0,22.3,2,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Allyson Aires dos Santos,br BRA,DF,33-032,9.0,0,2,0,0.0,0.22,0.0,0.0,,7.6,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Filipe Augusto,br BRA,MF,30-104,10.0,0,6,1,16.7,0.6,0.1,0.0,0.0,31.6,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Lucas Mineiro,br BRA,MF,27-273,6.4,0,5,0,0.0,0.78,0.0,0.0,,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Isidro Pitta,py PAR,FW,24-102,7.1,5,18,6,33.3,2.55,0.85,0.22,0.67,18.1,0,1,1,3.4,2.6,0.15,1.6,1.4,Matches
Patric Calmon,br BRA,DF,29-142,5.5,0,2,1,50.0,0.37,0.18,0.0,0.0,21.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Emerson Negueba,br BRA,FW,23-000,5.4,0,12,4,33.3,2.23,0.74,0.0,0.0,20.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Matheusinho,br BRA,DF,25-048,4.8,1,5,2,40.0,1.04,0.42,0.2,0.5,21.3,0,0,0,0.8,0.8,0.15,0.2,0.2,Matches
Ronald,br BRA,MF,26-159,6.5,2,14,5,35.7,2.15,0.77,0.14,0.4,26.9,3,0,0,0.8,0.8,0.06,1.2,1.2,Matches
Derik Lacerda,br BRA,"FW,MF",24-058,5.7,0,18,2,11.1,3.15,0.35,0.0,0.0,15.3,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
Iury de Castilho,br BRA,FW,28-079,4.4,0,12,4,33.3,2.71,0.9,0.0,0.0,18.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Uendel,br BRA,DF,35-047,2.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Carlos,br BRA,GK,35-232,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nicolás Quagliata,uy URU,"FW,MF",24-172,2.6,0,6,0,0.0,2.32,0.0,0.0,,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Pablinho,br BRA,FW,20-065,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rafael Gava,br BRA,MF,30-188,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vitão,br BRA,DF,23-068,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ricardo,br BRA,MF,20-330,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.9,34.0,35,413,125,30.3,12.15,3.68,0.07,0.24,20.2,14,5,6,34.7,30.2,0.07,0.3,-0.2,
Opponent Total,,,28.4,34.0,33,398,130,32.7,11.71,3.82,0.07,0.22,19.0,10,4,4,37.4,34.3,0.09,-4.4,-5.3,
