Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Walter,br BRA,GK,36-006,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marllon Borges,br BRA,DF,31-222,32,32,2880.0,32.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,0.7,2.2,10.0,82.0,1.0,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.07,0.05,0.07,Matches
Deyverson,br BRA,FW,32-200,33,32,2721.0,30.2,12.0,2.0,14.0,9.0,3.0,4.0,6.0,0.0,11.9,9.0,2.2,11.3,17.0,70.0,144.0,0.4,0.07,0.46,0.3,0.36,0.39,0.07,0.47,0.3,0.37,Matches
Alan Empereur,br BRA,DF,29-259,30,30,2680.0,29.8,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.5,0.5,0.8,1.3,29.0,126.0,7.0,0.03,0.03,0.07,0.03,0.07,0.02,0.03,0.04,0.02,0.04,Matches
Raniele,br BRA,MF,26-328,31,30,2567.0,28.5,3.0,1.0,4.0,3.0,0.0,0.0,9.0,0.0,2.7,2.7,0.9,3.6,30.0,100.0,35.0,0.11,0.04,0.14,0.11,0.14,0.09,0.03,0.12,0.09,0.12,Matches
Matheus Alexandre,br BRA,DF,24-231,31,29,2637.0,29.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,1.1,1.9,36.0,96.0,79.0,0.03,0.0,0.03,0.03,0.03,0.03,0.04,0.06,0.03,0.06,Matches
Rikelme,br BRA,DF,20-131,27,24,2108.0,23.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,1.2,1.8,18.0,68.0,84.0,0.04,0.04,0.09,0.04,0.09,0.03,0.05,0.08,0.03,0.08,Matches
Fernando Sobral,br BRA,MF,28-342,29,20,1783.0,19.8,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,1.4,3.0,48.0,95.0,71.0,0.1,0.1,0.2,0.1,0.2,0.08,0.07,0.15,0.08,0.15,Matches
Denilson,br BRA,MF,22-246,29,20,1673.0,18.6,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,1.1,1.1,2.6,3.7,33.0,115.0,60.0,0.05,0.16,0.22,0.05,0.22,0.06,0.14,0.2,0.06,0.2,Matches
Jonathan Cafu,br BRA,"FW,MF",32-137,28,20,1479.0,16.4,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,35.0,45.0,154.0,0.0,0.18,0.18,0.0,0.18,0.06,0.06,0.12,0.06,0.12,Matches
