Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Caio Alexandre,br BRA,MF,24-273,31,2404.0,78.0,78.6,26.7,29,81.0,15,2,21.0,2,1.39,33.0,28.0,5.0,0.19,1.15,37.2,30.4,6.8,0.26,0.28,Matches
João Ricardo Riedi,br BRA,GK,35-079,28,2520.0,90.0,82.4,28.0,28,90.0,28,0,,1,1.21,28.0,35.0,-7.0,-0.25,-1.08,33.7,33.0,0.7,0.03,-0.96,Matches
Emanuel Brítez,ar ARG,DF,31-243,28,2491.0,89.0,81.4,27.7,28,89.0,27,0,,2,1.39,34.0,31.0,3.0,0.11,0.9,41.0,29.8,11.2,0.4,1.12,Matches
Titi,br BRA,DF,35-257,28,2486.0,89.0,81.2,27.6,28,89.0,24,0,,1,1.38,33.0,30.0,3.0,0.11,0.89,38.5,31.1,7.4,0.27,0.39,Matches
Bruno Pacheco,br BRA,DF,31-351,28,2404.0,86.0,78.6,26.7,27,89.0,23,1,14.0,3,1.43,31.0,30.0,1.0,0.04,0.45,38.0,29.7,8.2,0.31,0.53,Matches
Guilherme Tinga,br BRA,DF,30-084,27,2223.0,82.0,72.6,24.7,25,88.0,23,2,8.0,3,1.37,32.0,29.0,3.0,0.12,0.66,35.9,29.3,6.6,0.27,0.27,Matches
Tomas Pochettino,ar ARG,"MF,FW",27-296,32,1888.0,59.0,61.7,21.0,25,70.0,1,7,18.0,2,1.34,23.0,28.0,-5.0,-0.24,-0.47,27.8,24.7,3.1,0.15,-0.12,Matches
Juan Martín Lucero,ar ARG,FW,31-359,28,1942.0,69.0,63.5,21.6,22,81.0,9,6,28.0,1,1.14,20.0,30.0,-10.0,-0.46,-1.11,25.4,26.7,-1.2,-0.06,-0.69,Matches
Thiago Galhardo,br BRA,"FW,MF",34-127,30,1658.0,55.0,54.2,18.4,17,78.0,6,13,25.0,0,1.33,18.0,19.0,-1.0,-0.05,0.01,24.5,24.2,0.3,0.01,-0.4,Matches
José Welison,br BRA,MF,28-258,22,1393.0,63.0,45.5,15.5,17,77.0,9,5,17.0,9,1.36,18.0,18.0,0.0,0.0,0.11,20.9,17.3,3.6,0.23,0.06,Matches
Marinho,br BRA,"FW,DF",33-179,18,1046.0,58.0,34.2,11.6,14,71.0,2,4,14.0,0,1.11,10.0,11.0,-1.0,-0.09,-0.04,14.1,12.1,2.0,0.17,-0.04,Matches
Yago Pikachu,br BRA,"FW,MF",31-172,33,1474.0,45.0,48.2,16.4,13,78.0,5,20,23.0,0,1.33,23.0,22.0,1.0,0.06,0.23,23.9,19.5,4.4,0.27,0.14,Matches
Calebe,br BRA,"MF,FW",23-208,25,1190.0,48.0,38.9,13.2,12,72.0,0,13,25.0,1,1.16,11.0,15.0,-4.0,-0.3,-0.4,18.4,16.9,1.5,0.11,-0.14,Matches
Guilherme,br BRA,"FW,MF",28-225,26,1079.0,42.0,35.3,12.0,12,69.0,1,14,18.0,4,1.58,19.0,16.0,3.0,0.25,0.48,17.8,13.0,4.8,0.4,0.32,Matches
Marcelo,br BRA,DF,27-321,11,990.0,90.0,32.4,11.0,11,90.0,11,0,,17,1.18,10.0,16.0,-6.0,-0.55,-0.72,13.8,15.3,-1.5,-0.14,-0.5,Matches
Lucas Sasha,br BRA,MF,33-268,16,876.0,55.0,28.6,9.7,9,86.0,6,7,15.0,17,1.44,8.0,16.0,-8.0,-0.82,-1.07,12.6,11.3,1.3,0.13,-0.09,Matches
Hércules,br BRA,MF,23-035,13,771.0,59.0,25.2,8.6,9,72.0,1,4,30.0,1,1.69,9.0,5.0,4.0,0.47,0.7,13.0,10.5,2.5,0.29,0.13,Matches
Imanol Machuca,ar ARG,FW,23-313,14,666.0,48.0,21.8,7.4,6,72.0,1,8,29.0,3,0.93,7.0,7.0,0.0,0.0,0.08,9.5,8.2,1.3,0.18,-0.02,Matches
Pedro Borges,br BRA,MF,26-266,12,516.0,43.0,16.9,5.7,6,71.0,2,6,15.0,6,1.42,8.0,7.0,1.0,0.17,0.28,8.0,5.5,2.5,0.43,0.29,Matches
Gonzalo Escobar,ar ARG,DF,26-253,11,484.0,44.0,15.8,5.4,5,85.0,4,6,10.0,7,1.0,7.0,10.0,-3.0,-0.56,-0.59,7.5,9.0,-1.5,-0.27,-0.55,Matches
Lucas Crispim,br BRA,"MF,DF",29-158,14,478.0,34.0,15.6,5.3,5,72.0,1,9,13.0,18,0.64,3.0,7.0,-4.0,-0.75,-0.82,5.6,6.4,-0.8,-0.15,-0.41,Matches
