Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Tadeu,br BRA,GK,31-293,31.0,8,0.26,6,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Maguinho,br BRA,DF,30-322,27.8,42,1.51,30,1,2,1,6,2,4,0.14,2,0,0,0,2,0,Matches
Bruno Melo,br BRA,DF,31-029,29.8,26,0.87,20,0,0,4,2,0,3,0.1,2,0,0,0,1,0,Matches
Everton Morelli,br BRA,MF,26-020,26.3,46,1.75,35,1,1,3,6,0,3,0.11,1,0,1,1,0,0,Matches
Lucas Halter,br BRA,DF,23-206,25.2,25,0.99,20,2,0,2,0,1,1,0.04,1,0,0,0,0,0,Matches
Willian,br BRA,MF,30-192,20.7,27,1.31,25,0,0,1,0,1,2,0.1,2,0,0,0,0,0,Matches
Guilherme,br BRA,MF,32-187,17.7,88,4.98,34,45,2,4,2,1,8,0.45,1,6,0,1,0,0,Matches
Sander,br BRA,DF,33-052,17.1,43,2.51,28,13,1,1,0,0,4,0.23,2,2,0,0,0,0,Matches
Julián Palacios,ar ARG,"FW,MF",24-293,16.7,89,5.33,54,18,4,4,9,0,8,0.48,4,1,0,1,2,0,Matches
Hugo,br BRA,DF,26-087,15.8,33,2.09,25,7,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Anderson,br BRA,FW,25-131,12.4,31,2.51,21,1,3,3,3,0,1,0.08,1,0,0,0,0,0,Matches
Allano,br BRA,FW,28-214,13.7,30,2.18,20,0,1,1,7,1,2,0.15,2,0,0,0,0,0,Matches
Zé Ricardo,br BRA,MF,24-294,11.9,39,3.28,30,0,4,1,3,1,2,0.17,2,0,0,0,0,0,Matches
João Magno,br BRA,FW,26-282,10.9,20,1.83,11,1,0,5,3,0,4,0.37,1,0,0,2,1,0,Matches
Sidimar,br BRA,DF,31-138,11.2,9,0.8,6,1,0,2,0,0,1,0.09,1,0,0,0,0,0,Matches
Matheus Peixoto,br BRA,FW,28-008,9.8,15,1.54,9,0,1,3,0,2,2,0.2,1,0,0,1,0,0,Matches
Vinícius,br BRA,"FW,MF",30-113,11.6,44,3.8,32,1,6,5,0,0,3,0.26,2,0,1,0,0,0,Matches
Dieguinho,br BRA,"FW,MF",28-024,9.0,33,3.67,17,6,5,2,2,1,1,0.11,1,0,0,0,0,0,Matches
Matheus Babi,br BRA,FW,26-129,9.1,16,1.76,6,0,0,3,7,0,1,0.11,0,0,0,0,1,0,Matches
Raphael Guzzo,pt POR,MF,28-322,6.1,20,3.27,13,3,0,3,0,1,0,0.0,0,0,0,0,0,0,Matches
Bruno Araújo dos Santos,br BRA,DF,30-290,5.0,11,2.18,7,0,1,2,1,0,1,0.2,1,0,0,0,0,0,Matches
Diego Gonçalves,br BRA,"FW,MF",29-125,4.0,11,2.78,9,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Alesson,br BRA,"FW,MF",24-281,7.2,18,2.5,13,0,3,1,1,0,1,0.14,1,0,0,0,0,0,Matches
Marcelo Rangel,br BRA,GK,35-191,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Apodi,br BRA,"FW,MF",36-346,3.5,5,1.44,3,0,1,0,1,0,3,0.87,1,0,1,0,1,0,Matches
Luis Oyama,br BRA,MF,26-298,2.8,5,1.8,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
EDU,br BRA,DF,23-161,2.7,2,0.74,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matheus Santos,br BRA,"FW,MF",25-118,2.2,5,2.3,2,0,2,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Higor,br BRA,MF,29-154,2.1,1,0.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Novaes,br BRA,FW,24-233,1.1,1,0.95,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Dodô,br BRA,"MF,FW",22-162,3.0,20,6.69,9,5,1,0,4,1,0,0.0,0,0,0,0,0,0,Matches
Philippe Costa,br BRA,FW,23-268,1.2,5,4.13,2,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Emmanuel,br BRA,FW,23-170,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fellipe Bastos,br BRA,MF,33-296,0.4,1,2.5,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Denzel,br BRA,FW,20-308,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jhonny Lucas,br BRA,MF,23-276,0.2,1,5.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Oliveira,br BRA,MF,19-246,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.7,34.0,770,22.65,496,108,40,55,59,12,57,1.68,31,9,3,6,8,0,
Opponent Total,,,28.0,34.0,871,25.62,625,79,55,49,50,13,86,2.53,55,4,9,11,7,0,
