Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Tadeu,br BRA,GK,31-293,31.0,728,1048,69.5,24265,18026,108,108,100.0,262,269,97.4,356,656,54.3,1,0.2,0.1,0.8,4,35,0,0,1,Matches
Maguinho,br BRA,DF,30-322,27.8,740,1052,70.3,11980,4621,388,461,84.2,286,411,69.6,54,124,43.5,0,1.2,1.1,-1.2,15,51,6,1,64,Matches
Bruno Melo,br BRA,DF,31-029,29.8,1138,1324,86.0,23834,8948,344,373,92.2,613,656,93.4,173,265,65.3,1,0.3,0.4,0.7,7,82,6,0,87,Matches
Everton Morelli,br BRA,MF,26-020,26.3,712,885,80.5,12265,3318,315,352,89.5,319,368,86.7,60,106,56.6,0,0.7,0.9,-0.7,15,69,6,2,86,Matches
Lucas Halter,br BRA,DF,23-206,25.2,873,1063,82.1,18510,7830,236,261,90.4,495,561,88.2,131,207,63.3,0,0.2,0.5,-0.2,5,71,5,0,98,Matches
Willian,br BRA,MF,30-192,20.7,719,852,84.4,13117,3752,300,342,87.7,325,364,89.3,78,110,70.9,0,0.5,0.7,-0.5,12,52,10,1,54,Matches
Guilherme,br BRA,MF,32-187,17.7,588,792,74.2,11255,3856,243,284,85.6,237,288,82.3,92,182,50.5,6,3.1,3.7,2.9,44,61,9,2,91,Matches
Sander,br BRA,DF,33-052,17.1,755,1004,75.2,12955,5446,359,402,89.3,311,401,77.6,74,151,49.0,3,1.8,2.1,1.2,28,60,21,14,85,Matches
Julián Palacios,ar ARG,"FW,MF",24-293,16.7,386,548,70.4,6614,2448,191,228,83.8,131,172,76.2,47,90,52.2,1,2.9,3.5,-1.9,49,38,32,14,88,Matches
Hugo,br BRA,DF,26-087,15.8,517,737,70.1,8794,4348,273,318,85.8,185,269,68.8,52,111,46.8,1,1.7,1.9,-0.7,16,40,17,4,61,Matches
Anderson,br BRA,FW,25-131,12.4,288,390,73.8,4117,998,162,187,86.6,100,124,80.6,12,32,37.5,1,1.1,1.3,-0.1,14,21,12,3,32,Matches
Allano,br BRA,FW,28-214,13.7,307,421,72.9,4740,1557,156,183,85.2,119,152,78.3,20,39,51.3,0,0.8,1.0,-0.8,12,40,13,2,55,Matches
Zé Ricardo,br BRA,MF,24-294,11.9,555,669,83.0,11346,3588,202,231,87.4,231,270,85.6,107,129,82.9,1,0.8,0.5,0.2,11,82,9,0,88,Matches
João Magno,br BRA,FW,26-282,10.9,99,156,63.5,1362,371,56,82,68.3,29,41,70.7,6,9,66.7,1,0.8,1.2,0.2,9,6,6,1,12,Matches
