Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gabriel Chapecó,br BRA,GK,23-240,30.0,505,807,62.6,15325,12089,68,71,95.8,211,214,98.6,213,507,42.0,0,0.1,0.0,-0.1,2,7,0,0,0,Matches
Luis Suárez,uy URU,FW,36-304,28.0,681,975,69.8,9536,2311,414,540,76.7,181,251,72.1,40,67,59.7,10,5.2,6.0,4.8,46,50,31,1,93,Matches
Franco Cristaldo,ar ARG,"MF,FW",27-101,21.4,889,1171,75.9,13865,4485,480,562,85.4,276,340,81.2,85,162,52.5,5,4.4,3.7,0.6,48,90,27,5,115,Matches
Mathías Villasanti,py PAR,MF,26-304,26.4,1069,1239,86.3,16206,5063,556,611,91.0,407,464,87.7,56,79,70.9,5,2.5,1.9,2.5,25,102,20,1,134,Matches
Reinaldo,br BRA,DF,34-057,25.8,1068,1473,72.5,19565,9506,453,525,86.3,443,580,76.4,141,272,51.8,5,4.7,5.8,0.3,46,96,33,13,137,Matches
Bruno Fabiano Alves,br BRA,DF,32-222,25.2,717,853,84.1,13405,5187,242,266,91.0,395,444,89.0,67,122,54.9,0,0.0,0.1,0.0,1,29,1,1,33,Matches
Walter Kannemann,ar ARG,DF,32-255,23.2,715,916,78.1,12619,5978,292,335,87.2,362,427,84.8,49,123,39.8,1,0.2,0.2,0.8,7,51,1,0,68,Matches
João Pedro,br BRA,DF,27-009,22.1,797,1035,77.0,12225,5560,439,504,87.1,293,372,78.8,46,106,43.4,1,1.2,1.1,-0.2,17,76,20,6,111,Matches
Bitelo,br BRA,"MF,FW",23-321,17.2,660,819,80.6,9048,2888,406,462,87.9,177,217,81.6,33,57,57.9,1,3.8,3.6,-2.8,38,67,28,5,92,Matches
Felipe Carballo,uy URU,MF,27-051,15.0,557,700,79.6,8722,3057,283,336,84.2,215,255,84.3,39,59,66.1,1,1.1,1.5,-0.1,11,85,11,0,74,Matches
Bruno Uvini,br BRA,DF,32-174,15.6,370,490,75.5,6296,2437,153,197,77.7,185,223,83.0,21,48,43.8,0,0.7,0.5,-0.7,3,25,1,0,38,Matches
João Pedro Pepê,br BRA,MF,25-322,13.2,568,664,85.5,9280,3173,263,289,91.0,233,259,90.0,48,75,64.0,1,0.3,0.6,0.7,7,60,7,3,77,Matches
João Pedro,it ITA,FW,31-260,6.8,85,125,68.0,1130,236,62,78,79.5,15,27,55.6,6,10,60.0,1,0.3,0.1,0.7,5,3,2,1,6,Matches
Fábio,br BRA,DF,33-138,7.9,278,370,75.1,4062,1946,168,190,88.4,86,124,69.4,16,38,42.1,2,0.8,1.1,1.2,11,18,12,9,32,Matches
