Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Alan Patrick,br BRA,"MF,FW",32-195,24.4,104,4.25,76,15,5,2,3,3,11,0.45,8,1,0,1,1,0,Matches
Fabricio Bustos,ar ARG,DF,27-210,23.8,55,2.32,46,3,0,3,2,1,3,0.13,3,0,0,0,0,0,Matches
Vitão,br BRA,DF,23-295,22.3,16,0.72,13,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Wanderson,br BRA,"FW,MF",29-048,23.2,65,2.8,45,5,9,3,2,1,7,0.3,6,0,1,0,0,0,Matches
Gabriel Mercado,ar ARG,DF,36-251,20.2,7,0.35,5,0,0,1,1,0,1,0.05,1,0,0,0,0,0,Matches
Renê,br BRA,DF,31-071,21.4,59,2.76,49,5,2,1,0,2,7,0.33,5,1,0,0,0,1,Matches
Johnny Cardoso,us USA,MF,22-065,16.0,32,2.01,27,0,1,2,0,2,6,0.38,3,0,0,2,0,1,Matches
Mauricio,br BRA,"FW,MF",22-186,15.8,54,3.41,42,1,3,4,4,0,6,0.38,4,0,0,1,1,0,Matches
Luiz Adriano,br BRA,FW,36-226,14.2,23,1.62,17,0,0,4,2,0,2,0.14,1,0,0,1,0,0,Matches
Carlos de Pena,uy URU,"MF,FW",31-258,15.3,35,2.28,22,6,0,7,0,0,1,0.07,1,0,0,0,0,0,Matches
Sergio Rochet,uy URU,GK,30-246,15.0,2,0.13,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Henrique,br BRA,"FW,MF",33-161,13.4,46,3.44,26,1,5,6,7,1,5,0.37,2,0,1,0,1,1,Matches
Enner Valencia,ec ECU,FW,34-020,13.3,37,2.79,20,0,4,9,4,0,4,0.3,2,0,0,2,0,0,Matches
Charles Aránguiz,cl CHI,"MF,FW",34-221,11.2,26,2.33,23,1,0,1,0,1,2,0.18,2,0,0,0,0,0,Matches
Nicolás Hernández,co COL,DF,25-310,14.2,12,0.84,10,0,0,1,1,0,3,0.21,3,0,0,0,0,0,Matches
Romulo,br BRA,"MF,DF",23-268,13.2,14,1.06,11,0,0,0,2,1,0,0.0,0,0,0,0,0,0,Matches
Igor Gomes,br BRA,DF,22-263,12.6,14,1.11,10,0,1,2,1,0,1,0.08,1,0,0,0,0,0,Matches
Keiller,br BRA,GK,27-026,10.0,1,0.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
John,br BRA,GK,27-284,9.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel,br BRA,MF,31-137,8.4,17,2.03,15,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Gustavo Campanharo,br BRA,MF,31-234,7.2,13,1.8,10,0,1,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Bruno Henrique,br BRA,MF,34-034,9.1,38,4.18,26,6,0,2,4,0,1,0.11,1,0,0,0,0,0,Matches
Dalbert Henrique,br BRA,DF,30-077,5.5,9,1.63,6,2,0,0,1,0,1,0.18,0,1,0,0,0,0,Matches
Matheus Dias,br BRA,"MF,FW",26-290,4.5,9,2.0,9,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Rodrigo Moledo,br BRA,DF,36-028,5.3,5,0.94,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucca Holanda,br BRA,FW,20-236,5.4,18,3.33,12,0,1,2,2,1,1,0.18,1,0,0,0,0,0,Matches
Alexandre Alemão,br BRA,FW,25-237,3.8,14,3.7,10,0,0,0,4,0,1,0.26,1,0,0,0,0,0,Matches
Thauan Lara,br BRA,"DF,MF",19-306,3.6,10,2.77,8,0,1,1,0,0,1,0.28,1,0,0,0,0,0,Matches
Hugo Mallo,es ESP,DF,32-155,3.6,3,0.83,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Baralhas,br BRA,MF,25-045,2.6,3,1.15,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jean Dias,br BRA,"FW,MF",33-033,3.6,5,1.4,1,2,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Barros,br BRA,"MF,FW",22-030,1.2,5,4.33,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Dalla Corte,br BRA,DF,17-170,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Estevão,br BRA,MF,21-294,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Ramos,br BRA,FW,22-325,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.3,34.0,751,22.09,554,51,34,56,41,15,65,1.91,47,3,2,7,3,3,
Opponent Total,,,28.5,34.0,760,22.35,510,77,47,57,55,14,70,2.06,44,3,5,8,9,1,
