Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Alan Patrick,br BRA,"MF,FW",32-195,31,25,2200.0,24.4,3.0,5.0,8.0,2.0,1.0,1.0,6.0,0.0,3.9,3.1,4.9,8.0,58.0,148.0,112.0,0.12,0.2,0.33,0.08,0.29,0.16,0.2,0.36,0.13,0.33,Matches
Fabricio Bustos,ar ARG,DF,27-210,25,24,2139.0,23.8,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.6,0.6,2.8,3.4,36.0,93.0,131.0,0.13,0.08,0.21,0.13,0.21,0.03,0.12,0.14,0.03,0.14,Matches
Vitão,br BRA,DF,23-295,25,24,2010.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,0.5,1.2,13.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
Wanderson,br BRA,"FW,MF",29-048,29,23,2091.0,23.2,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,4.0,4.0,2.3,6.4,91.0,61.0,156.0,0.26,0.09,0.34,0.26,0.34,0.17,0.1,0.27,0.17,0.27,Matches
Gabriel Mercado,ar ARG,DF,36-251,22,21,1820.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.5,0.5,0.2,0.8,1.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Renê,br BRA,DF,31-071,24,20,1924.0,21.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,1.8,2.3,52.0,144.0,50.0,0.05,0.05,0.09,0.05,0.09,0.02,0.08,0.11,0.02,0.11,Matches
Johnny Cardoso,us USA,MF,22-065,19,18,1437.0,16.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.9,2.0,18.0,64.0,24.0,0.13,0.13,0.25,0.13,0.25,0.07,0.06,0.13,0.07,0.13,Matches
Mauricio,br BRA,"FW,MF",22-186,22,18,1424.0,15.8,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,4.5,4.5,2.1,6.6,25.0,52.0,96.0,0.32,0.19,0.51,0.32,0.51,0.28,0.13,0.42,0.28,0.42,Matches
Luiz Adriano,br BRA,FW,36-226,26,17,1276.0,14.2,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,2.6,2.6,1.3,3.9,3.0,22.0,47.0,0.21,0.07,0.28,0.21,0.28,0.18,0.09,0.28,0.18,0.28,Matches
Carlos de Pena,uy URU,"MF,FW",31-258,24,16,1380.0,15.3,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,1.4,1.4,0.9,2.3,22.0,79.0,55.0,0.13,0.0,0.13,0.13,0.13,0.09,0.06,0.15,0.09,0.15,Matches
Sergio Rochet,uy URU,GK,30-246,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Henrique,br BRA,"FW,MF",33-161,24,14,1205.0,13.4,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,3.3,2.5,1.0,3.5,39.0,24.0,117.0,0.07,0.15,0.22,0.0,0.15,0.25,0.07,0.32,0.19,0.26,Matches
Enner Valencia,ec ECU,FW,34-020,18,14,1194.0,13.3,6.0,1.0,7.0,6.0,0.0,1.0,4.0,0.0,7.1,6.2,0.9,7.1,37.0,13.0,126.0,0.45,0.08,0.53,0.45,0.53,0.53,0.07,0.61,0.47,0.54,Matches
Charles Aránguiz,cl CHI,"MF,FW",34-221,19,13,1008.0,11.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.2,2.1,5.0,77.0,24.0,0.0,0.09,0.09,0.0,0.09,0.09,0.11,0.19,0.09,0.19,Matches
Nicolás Hernández,co COL,DF,25-310,21,12,1278.0,14.2,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,1.0,1.2,26.0,65.0,2.0,0.0,0.14,0.14,0.0,0.14,0.01,0.07,0.08,0.01,0.08,Matches
Romulo,br BRA,"MF,DF",23-268,19,12,1190.0,13.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.2,12.0,37.0,29.0,0.08,0.0,0.08,0.08,0.08,0.08,0.01,0.09,0.08,0.09,Matches
Igor Gomes,br BRA,DF,22-263,20,11,1136.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,0.9,30.0,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,Matches
Keiller,br BRA,GK,27-026,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
John,br BRA,GK,27-284,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel,br BRA,MF,31-137,13,9,754.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.4,7.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Gustavo Campanharo,br BRA,MF,31-234,13,8,649.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,8.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Bruno Henrique,br BRA,MF,34-034,16,7,817.0,9.1,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,1.2,2.3,15.0,61.0,22.0,0.22,0.0,0.22,0.22,0.22,0.12,0.13,0.26,0.12,0.26,Matches
Dalbert Henrique,br BRA,DF,30-077,9,7,497.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,Matches
Matheus Dias,br BRA,"MF,FW",26-290,14,6,405.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.1,0.3,9.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
Rodrigo Moledo,br BRA,DF,36-028,7,5,478.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Lucca Holanda,br BRA,FW,20-236,18,3,486.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,0.1,0.7,10.0,2.0,47.0,0.0,0.19,0.19,0.0,0.19,0.1,0.02,0.13,0.1,0.13,Matches
Alexandre Alemão,br BRA,FW,25-237,9,3,340.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.1,1.4,7.0,7.0,37.0,0.26,0.0,0.26,0.26,0.26,0.33,0.04,0.36,0.33,0.36,Matches
Thauan Lara,br BRA,"DF,MF",19-306,8,3,325.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,5.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.1,0.03,0.1,Matches
Hugo Mallo,es ESP,DF,32-155,6,3,325.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.1,0.4,4.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11,Matches
Gabriel Baralhas,br BRA,MF,25-045,5,2,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Jean Dias,br BRA,"FW,MF",33-033,10,1,321.0,3.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.3,12.0,5.0,26.0,0.28,0.28,0.56,0.28,0.56,0.28,0.09,0.37,0.28,0.37,Matches
Gabriel Barros,br BRA,"MF,FW",22-030,4,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.26,0.12,0.26,Matches
João Dalla Corte,br BRA,DF,17-170,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Estevão,br BRA,MF,21-294,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Lucas Ramos,br BRA,FW,22-325,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthoni,br BRA,GK,21-305,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Felipe,br BRA,DF,20-113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Emerson Júnior,br BRA,GK,23-290,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
