Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Wéverton,br BRA,GK,35-346,31.0,9,0.29,8,1,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
Gustavo Gómez,py PAR,DF,30-202,28.0,30,1.07,24,0,0,4,0,2,5,0.18,3,0,0,2,0,0,Matches
Zé Rafael,br BRA,MF,30-161,24.8,55,2.22,42,1,2,4,6,0,5,0.2,3,0,0,1,1,0,Matches
Joaquín Piquerez,uy URU,DF,25-092,25.4,60,2.36,42,8,4,3,1,2,7,0.28,6,0,0,0,1,0,Matches
Raphael Veiga,br BRA,MF,28-158,23.3,124,5.31,61,51,1,6,5,0,11,0.47,5,4,1,1,0,0,Matches
Mayke,br BRA,"DF,FW",31-014,25.0,71,2.84,66,2,2,1,0,0,8,0.32,8,0,0,0,0,0,Matches
Artur,br BRA,FW,25-282,19.5,82,4.21,61,5,7,3,5,1,4,0.21,4,0,0,0,0,0,Matches
Luan Garcia,br BRA,DF,30-198,20.2,25,1.24,23,0,1,1,0,0,4,0.2,2,0,1,1,0,0,Matches
Gabriel Menino,br BRA,MF,23-056,17.7,78,4.41,53,11,4,4,4,2,7,0.4,2,4,1,0,0,0,Matches
Murilo Cerqueira,br BRA,DF,26-242,20.1,18,0.9,15,0,1,2,0,0,2,0.1,2,0,0,0,0,0,Matches
Rony,br BRA,FW,28-197,17.7,43,2.43,29,2,2,7,2,1,4,0.23,1,0,0,2,1,0,Matches
Richard Ríos,co COL,MF,23-175,17.2,39,2.26,26,0,6,2,4,1,2,0.12,1,0,0,1,0,0,Matches
Endrick,br BRA,FW,17-126,14.0,41,2.94,23,0,10,3,5,0,6,0.43,1,0,4,0,1,0,Matches
Dudu,br BRA,FW,31-321,12.0,62,5.18,48,2,9,0,1,2,5,0.42,4,0,0,0,0,1,Matches
Marcos Rocha,br BRA,DF,34-348,10.4,39,3.74,32,5,1,0,0,1,3,0.29,3,0,0,0,0,0,Matches
Breno,br BRA,FW,27-304,12.2,34,2.79,20,0,1,1,10,2,6,0.49,3,0,0,1,2,0,Matches
Jhonatan Jowjow,br BRA,"MF,FW",21-076,9.5,34,3.59,26,3,2,1,2,0,3,0.32,3,0,0,0,0,0,Matches
Vanderlan,br BRA,DF,21-078,8.4,17,2.01,11,1,4,1,0,0,3,0.36,2,0,1,0,0,0,Matches
José López,ar ARG,"FW,MF",22-353,6.0,24,4.01,15,0,2,2,4,1,1,0.17,1,0,0,0,0,0,Matches
Luis Guilherme,br BRA,"FW,MF",17-288,6.4,30,4.7,17,4,4,0,4,1,2,0.31,1,0,0,0,1,0,Matches
Kaiky Naves,br BRA,DF,21-200,4.8,3,0.63,3,0,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
Fabinho,br BRA,MF,21-229,6.0,15,2.5,12,0,0,1,1,1,2,0.33,1,0,0,1,0,0,Matches
García,br BRA,DF,21-324,3.3,5,1.54,4,1,0,0,0,0,1,0.31,1,0,0,0,0,0,Matches
Marcelo Lomba,br BRA,GK,36-341,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kevin,br BRA,"FW,DF",20-324,2.6,6,2.32,3,0,1,1,1,0,1,0.39,0,0,0,0,1,0,Matches
Jailson Siqueira,br BRA,"MF,DF",28-078,1.7,5,2.96,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rafael Navarro,br BRA,FW,23-224,1.4,5,3.6,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Tabata,br BRA,"MF,FW",26-239,1.4,4,2.93,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ian Custódio,br BRA,DF,20-223,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Giovani,br BRA,FW,19-327,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kauan Santos,br BRA,FW,19-160,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,34.0,959,28.21,679,97,64,47,55,17,94,2.76,58,9,8,10,8,1,
Opponent Total,,,28.2,34.0,678,19.94,475,59,48,41,41,14,48,1.41,33,2,2,7,3,1,
