Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Wéverton,br BRA,GK,35-346,31,2790.0,90.0,91.2,31.0,31,90.0,31,0,,0,1.9,54.0,27.0,27.0,0.87,1.2,46.0,30.9,15.1,0.49,0.8,Matches
Gustavo Gómez,py PAR,DF,30-202,29,2522.0,87.0,82.4,28.0,29,87.0,27,0,,0,1.72,47.0,27.0,20.0,0.71,-0.29,42.1,28.5,13.6,0.48,0.38,Matches
Zé Rafael,br BRA,MF,30-161,27,2234.0,83.0,73.0,24.8,27,83.0,14,0,,0,1.96,42.0,20.0,22.0,0.89,0.45,36.1,22.0,14.1,0.57,0.56,Matches
Joaquín Piquerez,uy URU,DF,25-092,26,2287.0,88.0,74.7,25.4,26,88.0,23,0,,1,2.04,47.0,20.0,27.0,1.06,1.18,37.0,21.6,15.4,0.6,0.74,Matches
Raphael Veiga,br BRA,MF,28-158,27,2100.0,78.0,68.6,23.3,26,80.0,5,1,32.0,0,2.0,40.0,17.0,23.0,0.99,0.7,32.7,19.7,13.0,0.56,0.45,Matches
Mayke,br BRA,"DF,FW",31-014,30,2247.0,75.0,73.4,25.0,25,85.0,18,5,23.0,0,1.9,40.0,19.0,21.0,0.84,0.29,35.9,21.8,14.1,0.57,0.56,Matches
Artur,br BRA,FW,25-282,27,1755.0,65.0,57.4,19.5,22,76.0,4,5,16.0,4,2.07,37.0,14.0,23.0,1.18,0.97,27.8,14.2,13.6,0.7,0.66,Matches
Luan Garcia,br BRA,DF,30-198,23,1819.0,79.0,59.4,20.2,21,86.0,18,2,12.0,10,1.91,34.0,17.0,17.0,0.84,0.19,30.3,21.7,8.6,0.43,0.02,Matches
Gabriel Menino,br BRA,MF,23-056,24,1593.0,66.0,52.1,17.7,21,70.0,5,3,38.0,0,1.71,27.0,14.0,13.0,0.73,-0.06,22.8,14.5,8.3,0.47,0.11,Matches
Murilo Cerqueira,br BRA,DF,26-242,21,1805.0,86.0,59.0,20.1,20,89.0,18,1,19.0,2,1.95,35.0,20.0,15.0,0.75,-0.04,27.7,20.8,6.9,0.34,-0.18,Matches
Rony,br BRA,FW,28-197,28,1594.0,57.0,52.1,17.7,18,76.0,5,10,23.0,0,1.93,31.0,10.0,21.0,1.19,0.88,25.5,14.9,10.6,0.6,0.38,Matches
Richard Ríos,co COL,MF,23-175,33,1551.0,47.0,50.7,17.2,16,73.0,5,17,23.0,0,1.88,27.0,17.0,10.0,0.58,-0.37,24.8,21.3,3.5,0.21,-0.43,Matches
Endrick,br BRA,FW,17-126,27,1258.0,47.0,41.1,14.0,14,74.0,4,13,18.0,6,1.52,23.0,17.0,6.0,0.43,-0.57,21.3,18.7,2.6,0.18,-0.4,Matches
Dudu,br BRA,FW,31-321,14,1076.0,77.0,35.2,12.0,14,77.0,4,0,,0,1.86,21.0,9.0,12.0,1.0,0.37,18.6,9.0,9.6,0.8,0.59,Matches
Marcos Rocha,br BRA,DF,34-348,16,938.0,59.0,30.7,10.4,11,77.0,5,5,17.0,8,2.25,12.0,6.0,6.0,0.58,-0.27,13.5,9.7,3.9,0.37,-0.07,Matches
Breno,br BRA,FW,27-304,27,1095.0,41.0,35.8,12.2,10,74.0,1,17,21.0,7,1.89,24.0,12.0,12.0,0.99,0.35,18.5,17.6,0.9,0.07,-0.53,Matches
Jhonatan Jowjow,br BRA,"MF,FW",21-076,18,851.0,47.0,27.8,9.5,8,81.0,6,10,20.0,13,1.68,15.0,13.0,2.0,0.21,-0.77,13.0,15.7,-2.7,-0.28,-0.97,Matches
Vanderlan,br BRA,DF,21-078,11,760.0,69.0,24.8,8.4,8,88.0,7,3,19.0,22,1.18,10.0,9.0,1.0,0.12,-0.86,13.4,13.1,0.4,0.04,-0.5,Matches
José López,ar ARG,"FW,MF",22-353,19,539.0,28.0,17.6,6.0,5,66.0,0,14,15.0,14,1.74,11.0,5.0,6.0,1.0,0.29,12.1,6.6,5.5,0.92,0.61,Matches
Luis Guilherme,br BRA,"FW,MF",17-288,19,576.0,30.0,18.8,6.4,4,64.0,0,15,21.0,6,1.32,11.0,6.0,5.0,0.78,0.02,12.2,9.5,2.7,0.42,0.0,Matches
Kaiky Naves,br BRA,DF,21-200,8,428.0,54.0,14.0,4.8,4,75.0,1,4,32.0,21,1.5,7.0,4.0,3.0,0.63,-0.16,6.2,7.7,-1.5,-0.31,-0.84,Matches
Fabinho,br BRA,MF,21-229,20,542.0,27.0,17.7,6.0,3,73.0,0,17,19.0,14,2.0,10.0,7.0,3.0,0.5,-0.32,9.0,8.0,1.0,0.17,-0.3,Matches
García,br BRA,DF,21-324,5,293.0,59.0,9.6,3.3,3,82.0,2,2,24.0,20,1.6,8.0,5.0,3.0,0.92,0.17,4.9,6.4,-1.4,-0.44,-0.95,Matches
Marcelo Lomba,br BRA,GK,36-341,3,270.0,90.0,8.8,3.0,3,90.0,3,0,,31,1.0,2.0,3.0,-1.0,-0.33,-1.2,3.7,4.7,-0.9,-0.31,-0.8,Matches
Kevin,br BRA,"FW,DF",20-324,7,232.0,33.0,7.6,2.6,2,56.0,0,5,24.0,13,1.29,2.0,3.0,-1.0,-0.39,-1.25,2.7,2.4,0.3,0.12,-0.32,Matches
Jailson Siqueira,br BRA,"MF,DF",28-078,7,153.0,22.0,5.0,1.7,1,65.0,0,6,15.0,16,2.14,2.0,3.0,-1.0,-0.59,-1.42,2.7,3.3,-0.6,-0.35,-0.81,Matches
Rafael Navarro,br BRA,FW,23-224,3,125.0,42.0,4.1,1.4,1,68.0,0,2,29.0,9,2.33,3.0,3.0,0.0,0.0,-0.8,2.5,1.7,0.8,0.55,0.14,Matches
Bruno Tabata,br BRA,"MF,FW",26-239,5,124.0,25.0,4.1,1.4,1,70.0,0,4,14.0,4,1.4,0.0,1.0,-1.0,-0.73,-1.55,2.7,1.1,1.6,1.14,0.75,Matches
Ian Custódio,br BRA,DF,20-223,1,17.0,17.0,0.6,0.2,0,,0,1,17.0,0,0.0,0.0,1.0,-1.0,-5.29,-6.09,0.1,0.5,-0.4,-2.31,-2.74,Matches
Giovani,br BRA,FW,19-327,2,15.0,8.0,0.5,0.2,0,,0,2,8.0,3,1.5,0.0,1.0,-1.0,-6.0,-6.8,0.2,0.7,-0.6,-3.42,-3.86,Matches
Kauan Santos,br BRA,FW,19-160,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,0,0.0,0.0,1.0,-1.0,-45.0,-45.79,0.0,0.5,-0.5,-22.72,-23.15,Matches
Eduard Atuesta,co COL,MF,26-159,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Leo Azevedo,br BRA,MF,19-255,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
