Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Wéverton,br BRA,GK,35-346,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gustavo Gómez,py PAR,DF,30-202,28.0,2,22,5,22.7,0.79,0.18,0.09,0.4,10.9,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
Zé Rafael,br BRA,MF,30-161,24.8,2,30,8,26.7,1.21,0.32,0.07,0.25,22.3,1,0,0,1.2,1.2,0.04,0.8,0.8,Matches
Joaquín Piquerez,uy URU,DF,25-092,25.4,3,28,5,17.9,1.1,0.2,0.07,0.4,25.7,3,1,1,1.9,1.1,0.04,1.1,0.9,Matches
Raphael Veiga,br BRA,MF,28-158,23.3,8,77,28,36.4,3.3,1.2,0.09,0.25,22.9,12,1,2,6.9,5.3,0.07,1.1,1.7,Matches
Mayke,br BRA,"DF,FW",31-014,25.0,1,7,2,28.6,0.28,0.08,0.14,0.5,16.8,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
Artur,br BRA,FW,25-282,19.5,5,41,16,39.0,2.1,0.82,0.12,0.31,16.7,1,0,0,4.6,4.6,0.11,0.4,0.4,Matches
Luan Garcia,br BRA,DF,30-198,20.2,1,19,6,31.6,0.94,0.3,0.05,0.17,10.5,0,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches
Gabriel Menino,br BRA,MF,23-056,17.7,2,34,7,20.6,1.92,0.4,0.06,0.29,25.2,3,0,0,1.7,1.7,0.05,0.3,0.3,Matches
Murilo Cerqueira,br BRA,DF,26-242,20.1,3,9,6,66.7,0.45,0.3,0.33,0.5,11.5,0,0,0,0.9,0.9,0.1,2.1,2.1,Matches
Rony,br BRA,FW,28-197,17.7,5,51,18,35.3,2.88,1.02,0.1,0.28,13.1,1,0,0,6.1,6.1,0.12,-1.1,-1.1,Matches
