Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-04-04,20:30,Sudamericana,Group stage,Tue,Away,W,1.0,0.0,bo Blooming,,,73.0,,João Paulo,4-3-3,Luis Quiroz,Match Report,
2023-04-16,18:30,Série A,Matchweek 1,Sun,Away,L,0.0,1.0,Grêmio,1.2,1.6,55.0,13997.0,João Paulo,4-3-3,Wilton Sampaio,Match Report,
2023-04-20,19:00,Sudamericana,Group stage,Thu,Home,D,0.0,0.0,cl Audax Italiano,,,59.0,,João Paulo,4-3-3,Andrés Rojas,Match Report,
2023-04-23,16:00,Série A,Matchweek 2,Sun,Home,D,0.0,0.0,Atlético Mineiro,0.8,1.2,37.0,11233.0,João Paulo,4-4-2,Braulio da Silva Machado,Match Report,
2023-04-29,18:30,Série A,Matchweek 3,Sat,Home,W,3.0,2.0,América (MG),1.8,1.8,44.0,11844.0,Yeferson Soteldo,4-3-3,Anderson Daronco,Match Report,
2023-05-02,21:30,Sudamericana,Group stage,Tue,Away,L,0.0,1.0,ar Newell's OB,,,39.0,10327.0,João Paulo,4-2-3-1,Alexis Herrera,Match Report,
2023-05-06,16:00,Série A,Matchweek 4,Sat,Away,L,1.0,2.0,Cruzeiro,1.0,1.6,45.0,21191.0,João Paulo,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2023-05-10,19:00,Série A,Matchweek 5,Wed,Home,W,3.0,0.0,Bahia,2.0,1.3,41.0,7262.0,João Paulo,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
2023-05-14,16:00,Série A,Matchweek 6,Sun,Away,W,1.0,0.0,Vasco da Gama,0.6,1.7,32.0,18476.0,João Paulo,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,
2023-05-20,21:00,Série A,Matchweek 7,Sat,Home,D,0.0,0.0,Palmeiras,0.4,0.4,39.0,12641.0,João Paulo,4-2-3-1,Raphael Claus,Match Report,
2023-05-24,20:00,Sudamericana,Group stage,Wed,Away,L,1.0,2.0,cl Audax Italiano,,,43.0,,Alison,4-2-3-1,Christian Ferreyra,Match Report,
2023-05-28,18:30,Série A,Matchweek 8,Sun,Away,L,0.0,2.0,Bragantino,0.3,1.5,41.0,5988.0,Yeferson Soteldo,4-2-3-1,Anderson Daronco,Match Report,
2023-06-03,21:00,Série A,Matchweek 9,Sat,Home,D,1.0,1.0,Internacional,1.4,1.1,56.0,9600.0,Alison,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
2023-06-06,21:30,Sudamericana,Group stage,Tue,Home,L,1.0,2.0,ar Newell's OB,,,50.0,6204.0,Alison,4-2-3-1,Jesús Valenzuela,Match Report,
2023-06-10,16:00,Série A,Matchweek 10,Sat,Away,D,0.0,0.0,Coritiba,0.8,1.2,53.0,25987.0,Alison,4-2-3-1,Bruno Mota Correia,Match Report,
2023-06-21,20:00,Série A,Matchweek 11,Wed,Home,L,0.0,2.0,Corinthians,0.8,1.3,51.0,12499.0,Yeferson Soteldo,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2023-06-25,18:30,Série A,Matchweek 12,Sun,Home,L,2.0,3.0,Flamengo,1.8,0.8,33.0,,Yeferson Soteldo,4-2-3-1,Wilton Sampaio,Match Report,
2023-06-29,19:00,Sudamericana,Group stage,Thu,Home,D,0.0,0.0,bo Blooming,,,70.0,2891.0,Vladimir,4-3-3,Augusto Aragón,Match Report,
2023-07-02,17:30,Série A,Matchweek 13,Sun,Away,L,0.0,3.0,Cuiabá,0.3,1.1,52.0,13477.0,João Paulo,4-2-3-1,Bruno Mota Correia,Match Report,
2023-07-09,11:00,Série A,Matchweek 14,Sun,Home,W,4.0,3.0,Goiás,2.4,1.9,34.0,,João Paulo,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2023-07-16,16:00,Série A,Matchweek 15,Sun,Away,L,1.0,4.0,São Paulo,1.1,3.2,37.0,,João Paulo,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-07-23,16:00,Série A,Matchweek 16,Sun,Home,D,2.0,2.0,Botafogo (RJ),0.9,1.0,37.0,,João Paulo,4-3-3,Ramon Abatti Abel,Match Report,
2023-07-29,16:00,Série A,Matchweek 17,Sat,Away,L,0.0,1.0,Fluminense,0.1,2.0,29.0,,João Paulo,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,
2023-08-05,16:00,Série A,Matchweek 18,Sat,Home,D,1.0,1.0,Ath Paranaense,1.1,0.2,64.0,,João Paulo,4-3-3,André Luiz Skettino Policarpo Bento,Match Report,
2023-08-13,18:30,Série A,Matchweek 19,Sun,Away,L,0.0,4.0,Fortaleza,0.5,2.6,46.0,,Vladimir,4-2-3-1,Bruno Mota Correia,Match Report,
2023-08-20,16:00,Série A,Matchweek 20,Sun,Home,W,2.0,1.0,Grêmio,1.7,0.4,55.0,,João Paulo,3-4-3,Paulo Cesar Zanovelli da Silva,Match Report,
2023-08-27,16:00,Série A,Matchweek 21,Sun,Away,L,0.0,2.0,Atlético Mineiro,0.7,1.6,44.0,,João Paulo,4-2-3-1,Rafael Rodrigo Klein,Match Report,
2023-09-03,18:30,Série A,Matchweek 22,Sun,Away,L,0.0,2.0,América (MG),1.0,1.6,62.0,,João Paulo,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2023-09-14,19:00,Série A,Matchweek 23,Thu,Home,L,0.0,3.0,Cruzeiro,0.5,1.4,54.0,12244.0,João Paulo,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-09-18,20:00,Série A,Matchweek 24,Mon,Away,W,2.0,1.0,Bahia,2.6,0.9,37.0,,João Paulo,3-4-1-2,Ramon Abatti Abel,Match Report,
2023-10-01,16:00,Série A,Matchweek 25,Sun,Home,W,4.0,1.0,Vasco da Gama,2.4,0.9,37.0,,Tomás Rincón,3-4-1-2,Anderson Daronco,Match Report,
2023-10-08,16:00,Série A,Matchweek 26,Sun,Away,W,2.0,1.0,Palmeiras,1.4,2.1,31.0,,Tomás Rincón,3-5-2,Flavio Rodrigues de Souza,Match Report,
2023-10-19,20:00,Série A,Matchweek 27,Thu,Home,L,1.0,3.0,Bragantino,1.8,2.4,39.0,12850.0,Jean Lucas,3-5-2,Raphael Claus,Match Report,
2023-10-22,16:00,Série A,Matchweek 28,Sun,Away,L,1.0,7.0,Internacional,1.6,1.6,49.0,,Tomás Rincón,3-4-1-2,Paulo Zanovelli,Match Report,
2023-10-26,21:30,Série A,Matchweek 29,Thu,Home,W,2.0,1.0,Coritiba,2.2,0.8,63.0,12205.0,Tomás Rincón,3-4-3,Wagner Magalhães,Match Report,
2023-10-29,18:30,Série A,Matchweek 30,Sun,Away,D,1.0,1.0,Corinthians,1.3,1.2,39.0,,Tomás Rincón,3-4-3,Anderson Daronco,Match Report,
2023-11-01,20:00,Série A,Matchweek 31,Wed,Away,W,2.0,1.0,Flamengo,0.6,1.2,40.0,,Tomás Rincón,4-1-2-1-2◆,Rafael Rodrigo Klein,Match Report,
2023-11-06,21:00,Série A,Matchweek 32,Mon,Home,D,0.0,0.0,Cuiabá,0.1,0.5,60.0,,Tomás Rincón,4-2-3-1,Savio Pereira,Match Report,
2023-11-09,19:00,Série A,Matchweek 33,Thu,Away,W,1.0,0.0,Goiás,0.9,0.8,42.0,11836.0,Tomás Rincón,4-4-2,Paulo Zanovelli,Match Report,
2023-11-12,18:30,Série A,Matchweek 34,Sun,Home,D,0.0,0.0,São Paulo,0.6,1.2,30.0,,Tomás Rincón,4-1-4-1,Raphael Claus,Match Report,
2023-11-26,16:00,Série A,Matchweek 35,Sun,Away,,,,Botafogo (RJ),,,,,,,,Head-to-Head,
2023-11-29,19:00,Série A,Matchweek 36,Wed,Home,,,,Fluminense,,,,,,,,Head-to-Head,
2023-12-02,,Série A,Matchweek 37,Sat,Away,,,,Ath Paranaense,,,,,,,,Head-to-Head,
2023-12-06,,Série A,Matchweek 38,Wed,Home,,,,Fortaleza,,,,,,,,Head-to-Head,
