Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
João Paulo,br BRA,GK,28-148,31.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,14,1,Matches
Joaquim,br BRA,DF,24-331,27.3,54,41,44,9,1,31,41,75.6,10,36,22,14,44,98,168,1,Matches
Lucas Lima,br BRA,"MF,FW",33-138,23.3,55,36,19,30,6,24,69,34.8,45,25,3,22,3,58,9,0,Matches
Marcos Leonardo,br BRA,FW,20-206,25.9,6,3,1,4,1,1,4,25.0,3,11,5,6,2,8,24,0,Matches
Messias,br BRA,DF,29-021,22.6,20,13,15,5,0,15,18,83.3,3,26,19,7,32,52,139,1,Matches
Rodrigo Fernández,uy URU,MF,27-325,19.7,51,27,23,22,6,36,90,40.0,54,33,10,23,17,68,25,0,Matches
Dodi,br BRA,MF,27-221,18.6,43,25,17,24,2,15,34,44.1,19,25,7,18,21,64,28,0,Matches
Lucas Braga,br BRA,"DF,FW",27-014,18.1,23,19,17,6,0,12,32,37.5,20,17,3,14,9,32,19,0,Matches
Stiven Mendoza,co COL,"FW,MF",31-150,17.1,19,8,4,10,5,9,22,40.9,13,18,0,18,10,29,4,0,Matches
Jean Lucas,br BRA,MF,25-155,16.3,25,17,10,11,4,13,33,39.4,20,13,1,12,8,33,12,1,Matches
Dodô,br BRA,DF,31-291,14.1,17,13,10,5,2,11,20,55.0,9,17,4,13,28,45,40,1,Matches
Yeferson Soteldo,ve VEN,"FW,MF",26-147,13.3,11,6,5,6,0,4,12,33.3,8,8,0,8,5,16,6,0,Matches
João Othavio Basso,br BRA,DF,26-315,12.1,17,9,12,4,1,10,21,47.6,11,9,6,3,17,34,55,0,Matches
Tomás Rincón,ve VEN,MF,35-315,11.8,30,15,8,18,4,14,33,42.4,19,15,1,14,22,52,17,0,Matches
Gabriel Inocêncio,br BRA,DF,29-096,12.6,48,28,29,11,8,25,45,55.6,20,23,8,15,14,62,36,1,Matches
Kevyson,br BRA,DF,19-240,10.0,27,20,17,10,0,12,20,60.0,8,6,2,4,21,48,22,1,Matches
João Lucas,br BRA,DF,25-260,9.0,21,15,9,10,2,11,19,57.9,8,16,3,13,15,36,22,0,Matches
Lucas,br BRA,DF,22-245,6.8,14,8,10,4,0,7,20,35.0,13,11,3,8,6,20,20,0,Matches
Nathan,br BRA,DF,22-080,5.5,14,13,10,3,1,10,19,52.6,9,4,0,4,8,22,8,0,Matches
Ângelo Borges,br BRA,"FW,MF",18-338,6.0,10,8,2,5,3,5,10,50.0,5,11,0,11,5,15,1,0,Matches
Nonato,br BRA,MF,25-266,5.4,16,11,4,11,1,7,16,43.8,9,8,1,7,13,29,3,0,Matches
Alex,br BRA,DF,24-198,5.1,9,7,8,0,1,2,4,50.0,2,3,2,1,7,16,10,0,Matches
Deivid Washington,br BRA,FW,18-172,4.7,4,1,0,1,3,2,8,25.0,6,4,0,4,1,5,3,0,Matches
Julio Furch,ar ARG,"FW,MF",34-118,4.8,6,4,2,2,2,1,6,16.7,5,2,0,2,2,8,8,0,Matches
Guilherme Camacho,br BRA,MF,33-267,4.5,14,8,6,7,1,6,16,37.5,10,14,4,10,4,18,11,0,Matches
Maximiliano Silvera,uy URU,"FW,MF",26-080,3.8,9,8,2,7,0,3,6,50.0,3,6,0,6,1,10,2,0,Matches
Eduardo Gabriel,br BRA,DF,27-284,3.0,1,0,1,0,0,1,1,100.0,0,5,4,1,6,7,20,0,Matches
Daniel Ruiz Rivera,co COL,"FW,MF",22-117,2.7,7,3,3,2,2,4,8,50.0,4,4,0,4,1,8,1,0,Matches
Vladimir,br BRA,GK,34-131,2.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,Matches
Sandry,br BRA,MF,21-086,2.1,6,3,4,1,1,2,6,33.3,4,4,3,1,2,8,0,0,Matches
Alison,br BRA,MF,30-268,1.5,3,1,1,2,0,1,4,25.0,3,5,2,3,3,6,5,0,Matches
Luan Dias,br BRA,"MF,FW",26-116,2.1,8,6,2,5,1,1,8,12.5,7,3,1,2,1,9,0,0,Matches
Júnior Caiçara,br BRA,DF,34-211,1.9,5,3,3,1,1,3,7,42.9,4,2,1,1,2,7,8,0,Matches
Lucas Barbosa,br BRA,"FW,MF",22-275,1.1,12,5,3,9,0,6,11,54.5,5,8,3,5,2,14,3,0,Matches
Felipe Jonatan,br BRA,DF,25-282,1.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
Alfredo Morelos,co COL,FW,27-156,0.8,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Bruno Mezenga,br BRA,"FW,MF",35-108,1.9,3,1,0,2,1,1,2,50.0,1,3,0,3,0,3,3,0,Matches
Weslley Patati,br BRA,"FW,MF",20-054,1.0,5,2,1,3,1,3,9,33.3,6,3,0,3,3,8,1,0,Matches
Maicon,br BRA,DF,35-071,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Matches
Ed Carlos,br BRA,"MF,FW",22-250,0.4,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Miguel Terceros,bo BOL,"MF,FW",19-213,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
