Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Rafael Pires,br BRA,GK,34-154,29.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo Maia,br BRA,MF,21-318,24.7,50,2.02,43,0,1,4,1,1,3,0.12,0,0,1,2,0,0,Matches
Alisson,br BRA,"MF,FW",30-152,20.2,56,2.76,34,11,2,2,5,2,7,0.35,6,0,0,0,1,0,Matches
Lucas Beraldo,br BRA,DF,20-000,21.0,15,0.71,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rafinha,br BRA,DF,38-078,20.8,51,2.45,45,5,0,0,1,0,2,0.1,2,0,0,0,0,0,Matches
Luciano,br BRA,"MF,FW",30-190,20.7,74,3.58,53,1,6,8,5,1,4,0.19,2,0,0,2,0,0,Matches
Caio Paulista,br BRA,DF,25-197,20.4,54,2.65,37,1,15,0,1,0,6,0.29,3,1,1,0,1,0,Matches
Diego,br BRA,DF,24-126,19.3,16,0.83,15,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Wellington Rato,br BRA,"FW,MF",31-149,16.8,73,4.36,39,23,4,6,0,1,6,0.36,4,2,0,0,0,0,Matches
Michel Araujo,uy URU,"FW,MF",27-057,17.8,63,3.55,41,9,5,4,4,0,3,0.17,3,0,0,0,0,0,Matches
Rodrigo Nestor,br BRA,"MF,FW",23-107,16.1,56,3.48,38,1,10,3,3,1,3,0.19,1,0,1,1,0,0,Matches
Robert Arboleda,ec ECU,DF,32-033,15.1,9,0.6,3,0,0,6,0,0,1,0.07,0,0,0,1,0,0,Matches
Jonathan Calleri,ar ARG,FW,30-062,15.0,37,2.47,27,0,0,5,5,0,4,0.27,3,0,0,0,1,0,Matches
Gabriel Neves,uy URU,MF,26-105,10.7,25,2.33,23,1,0,0,0,1,3,0.28,3,0,0,0,0,0,Matches
Juan Santos,br BRA,FW,21-263,12.3,38,3.08,30,0,3,1,2,2,3,0.24,2,0,0,0,0,1,Matches
Alan Franco,ar ARG,DF,27-044,11.5,10,0.87,10,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Nathan Mendes,br BRA,DF,21-097,10.7,11,1.03,9,0,1,1,0,0,1,0.09,0,0,1,0,0,0,Matches
Welington,br BRA,DF,22-278,8.6,18,2.09,17,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luan,br BRA,MF,24-194,6.8,6,0.89,4,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
James Rodríguez,co COL,"MF,FW",32-135,6.3,27,4.29,17,6,1,3,0,0,3,0.48,1,1,0,1,0,0,Matches
Lucas Moura,br BRA,"FW,MF",31-103,7.7,28,3.65,16,3,4,0,5,0,0,0.0,0,0,0,0,0,0,Matches
David,br BRA,"FW,MF",28-038,7.5,26,3.45,19,0,2,2,2,1,2,0.27,2,0,0,0,0,0,Matches
Marcos Paulo,br BRA,"FW,MF",22-296,5.9,35,5.95,22,3,5,3,0,2,2,0.34,1,0,1,0,0,0,Matches
Jandrei,br BRA,GK,30-268,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jhegson Méndez,ec ECU,MF,26-212,4.1,7,1.7,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patryck,br BRA,DF,20-310,4.0,6,1.5,3,1,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Raí Ramos,br BRA,DF,29-202,3.1,4,1.31,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Erison,br BRA,FW,24-225,3.0,5,1.66,1,0,2,1,1,0,1,0.33,0,0,0,1,0,0,Matches
Matheus Belém,br BRA,DF,20-284,1.9,1,0.53,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo,br BRA,"MF,FW",19-253,2.6,5,1.94,5,0,0,0,0,0,1,0.39,1,0,0,0,0,0,Matches
Alexandre Pato,br BRA,"FW,MF",34-083,1.8,4,2.22,3,0,0,1,0,0,2,1.11,1,0,0,1,0,0,Matches
Talles Costa,br BRA,"MF,FW",21-114,0.8,2,2.37,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
João Moreira,pt POR,DF,19-187,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
William Gomes,br BRA,FW,17-254,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Vilhena,br BRA,FW,21-279,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Felipe Negrucci,br BRA,MF,19-204,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nahuel Ferraresi,ve VEN,FW,25-005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Talles Wander,br BRA,MF,20-031,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.5,34.0,816,24.0,585,66,63,51,39,12,58,1.71,36,4,5,9,3,1,
Opponent Total,,,28.5,34.0,724,21.29,515,70,43,43,40,13,59,1.74,40,4,3,3,9,0,
