Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Rafael Pires,br BRA,GK,34-154,29,2610.0,90.0,85.3,29.0,29,90.0,29,0,,5,1.38,33.0,32.0,1.0,0.03,0.03,39.6,28.6,11.0,0.38,0.5,Matches
Pablo Maia,br BRA,MF,21-318,28,2224.0,79.0,72.7,24.7,25,85.0,20,3,29.0,1,1.36,23.0,23.0,0.0,0.0,-0.11,33.3,22.6,10.8,0.44,0.48,Matches
Alisson,br BRA,"MF,FW",30-152,31,1822.0,59.0,59.5,20.2,22,73.0,4,9,23.0,2,1.45,23.0,19.0,4.0,0.2,0.42,26.7,18.4,8.3,0.41,0.25,Matches
Lucas Beraldo,br BRA,DF,20-000,21,1890.0,90.0,61.8,21.0,21,90.0,21,0,,7,1.48,24.0,24.0,0.0,0.0,-0.08,28.1,20.1,8.1,0.38,0.2,Matches
Rafinha,br BRA,DF,38-078,23,1876.0,82.0,61.3,20.8,21,87.0,15,2,27.0,3,1.5,26.0,22.0,4.0,0.19,0.42,30.2,18.0,12.2,0.59,0.73,Matches
Luciano,br BRA,"MF,FW",30-190,30,1863.0,62.0,60.9,20.7,21,76.0,3,9,29.0,1,1.33,24.0,23.0,1.0,0.05,0.05,29.0,18.1,10.9,0.53,0.56,Matches
Caio Paulista,br BRA,DF,25-197,24,1832.0,76.0,59.9,20.4,20,86.0,14,4,28.0,3,1.38,24.0,26.0,-2.0,-0.1,-0.32,26.6,22.4,4.3,0.21,-0.24,Matches
Diego,br BRA,DF,24-126,22,1739.0,79.0,56.8,19.3,20,87.0,19,2,1.0,8,1.41,22.0,25.0,-3.0,-0.16,-0.43,24.6,22.8,1.8,0.09,-0.5,Matches
Wellington Rato,br BRA,"FW,MF",31-149,28,1508.0,54.0,49.3,16.8,18,71.0,2,10,24.0,3,1.39,16.0,20.0,-4.0,-0.24,-0.53,20.6,19.6,1.0,0.06,-0.49,Matches
Michel Araujo,uy URU,"FW,MF",27-057,29,1598.0,55.0,52.2,17.8,17,79.0,8,12,21.0,1,1.34,21.0,23.0,-2.0,-0.11,-0.3,25.9,19.4,6.6,0.37,0.13,Matches
Rodrigo Nestor,br BRA,"MF,FW",23-107,25,1451.0,58.0,47.4,16.1,17,71.0,0,8,30.0,1,1.48,13.0,19.0,-6.0,-0.37,-0.76,20.6,16.5,4.1,0.25,-0.1,Matches
Robert Arboleda,ec ECU,DF,32-033,16,1361.0,85.0,44.5,15.1,15,90.0,15,1,11.0,2,1.35,16.0,12.0,4.0,0.26,0.42,22.6,14.0,8.6,0.57,0.47,Matches
Jonathan Calleri,ar ARG,FW,30-062,19,1350.0,71.0,44.1,15.0,15,83.0,9,4,25.0,1,1.42,19.0,18.0,1.0,0.07,0.07,21.2,15.6,5.6,0.38,0.12,Matches
Gabriel Neves,uy URU,MF,26-105,20,967.0,48.0,31.6,10.7,13,64.0,1,7,19.0,7,1.6,14.0,11.0,3.0,0.28,0.37,12.9,8.9,4.0,0.37,0.1,Matches
Juan Santos,br BRA,FW,21-263,24,1110.0,46.0,36.3,12.3,11,73.0,2,13,24.0,10,1.29,12.0,8.0,4.0,0.32,0.46,16.0,10.8,5.1,0.42,0.17,Matches
Alan Franco,ar ARG,DF,27-044,12,1039.0,87.0,34.0,11.5,11,89.0,10,1,63.0,18,1.33,12.0,12.0,0.0,0.0,-0.04,13.0,11.2,1.8,0.16,-0.23,Matches
Nathan Mendes,br BRA,DF,21-097,17,959.0,56.0,31.3,10.7,9,90.0,9,8,19.0,11,1.06,9.0,11.0,-2.0,-0.19,-0.32,12.1,12.2,-0.1,-0.01,-0.46,Matches
