Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Rafael Pires,br BRA,GK,34-154,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Maia,br BRA,MF,21-318,28,25,2224.0,24.7,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0,1.4,1.4,1.2,2.6,15.0,111.0,31.0,0.16,0.0,0.16,0.16,0.16,0.06,0.05,0.1,0.06,0.1,Matches
Alisson,br BRA,"MF,FW",30-152,31,22,1822.0,20.2,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,2.5,3.4,37.0,125.0,92.0,0.0,0.25,0.25,0.0,0.25,0.05,0.12,0.17,0.05,0.17,Matches
Lucas Beraldo,br BRA,DF,20-000,21,21,1890.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,0.5,1.4,16.0,117.0,3.0,0.05,0.0,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07,Matches
Rafinha,br BRA,DF,38-078,23,21,1876.0,20.8,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.1,0.1,1.3,1.4,37.0,174.0,43.0,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07,Matches
Luciano,br BRA,"MF,FW",30-190,30,21,1863.0,20.7,7.0,2.0,9.0,6.0,1.0,2.0,5.0,0.0,6.7,4.9,3.1,8.0,26.0,90.0,121.0,0.34,0.1,0.43,0.29,0.39,0.32,0.15,0.47,0.24,0.39,Matches
Caio Paulista,br BRA,DF,25-197,24,20,1832.0,20.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.7,1.7,1.9,3.6,96.0,108.0,149.0,0.0,0.1,0.1,0.0,0.1,0.08,0.09,0.18,0.08,0.18,Matches
Diego,br BRA,DF,24-126,22,20,1739.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.1,0.6,2.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Wellington Rato,br BRA,"FW,MF",31-149,28,18,1508.0,16.8,0.0,3.0,3.0,0.0,0.0,1.0,6.0,0.0,2.7,1.9,3.1,5.0,37.0,60.0,160.0,0.0,0.18,0.18,0.0,0.18,0.16,0.18,0.35,0.12,0.3,Matches
Michel Araujo,uy URU,"FW,MF",27-057,29,17,1598.0,17.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,4.3,4.3,2.4,6.7,65.0,85.0,144.0,0.11,0.06,0.17,0.11,0.17,0.24,0.13,0.38,0.24,0.38,Matches
