Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Léo Jardim,br BRA,GK,28-249,34.0,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,11.0,0.0,Matches
Lucas Piton,br BRA,DF,23-046,32.5,42.0,23,23.0,16.0,3.0,17.0,44.0,38.6,27.0,26.0,7.0,19.0,34,76.0,78.0,0.0,Matches
Léo Pelé,br BRA,DF,27-263,28.0,24.0,15,13.0,10.0,1.0,12.0,18.0,66.7,6.0,25.0,14.0,11.0,13,37.0,115.0,1.0,Matches
Gabriel Chaves,br BRA,"FW,MF",22-286,25.3,39.0,23,19.0,15.0,5.0,14.0,49.0,28.6,35.0,29.0,0.0,29.0,13,52.0,16.0,0.0,Matches
Zé Gabriel,br BRA,MF,24-307,18.6,38.0,18,23.0,13.0,2.0,20.0,50.0,40.0,30.0,19.0,5.0,14.0,17,55.0,42.0,0.0,Matches
José Luis Rodríguez Bebanz,uy URU,DF,26-255,20.2,47.0,29,27.0,17.0,3.0,23.0,52.0,44.2,29.0,22.0,7.0,15.0,25,72.0,52.0,2.0,Matches
Gary Medel,cl CHI,"DF,MF",36-113,16.5,21.0,5,12.0,8.0,1.0,10.0,28.0,35.7,18.0,21.0,15.0,6.0,18,39.0,66.0,0.0,Matches
Bruno Praxedes,br BRA,MF,21-289,13.5,32.0,24,17.0,11.0,4.0,16.0,34.0,47.1,18.0,18.0,4.0,14.0,9,41.0,12.0,0.0,Matches
Pablo Vegetti,ar ARG,FW,35-040,15.9,7.0,5,1.0,4.0,2.0,2.0,15.0,13.3,13.0,13.0,6.0,7.0,4,11.0,29.0,0.0,Matches
Paulinho,br BRA,MF,26-320,15.3,31.0,18,13.0,14.0,4.0,10.0,30.0,33.3,20.0,22.0,2.0,20.0,11,42.0,12.0,0.0,Matches
Robson Bambu,br BRA,DF,26-012,13.3,21.0,13,15.0,5.0,1.0,13.0,28.0,46.4,15.0,26.0,15.0,11.0,11,32.0,68.0,1.0,Matches
Jair,br BRA,MF,29-090,15.8,37.0,22,16.0,17.0,4.0,21.0,49.0,42.9,28.0,24.0,2.0,22.0,14,51.0,13.0,0.0,Matches
Alex Teixeira,br BRA,"FW,MF",33-322,12.5,9.0,6,2.0,6.0,1.0,2.0,4.0,50.0,2.0,5.0,0.0,5.0,1,10.0,4.0,0.0,Matches
Maicon,br BRA,DF,35-071,10.9,16.0,10,12.0,4.0,0.0,7.0,11.0,63.6,4.0,20.0,16.0,4.0,12,28.0,68.0,0.0,Matches
Marlon Gomes,br BRA,MF,19-345,10.6,,26,,,,,,,,,,,24,,,,Matches
Pedro Raul,br BRA,FW,27-019,9.3,3.0,2,0.0,1.0,2.0,1.0,6.0,16.7,5.0,7.0,3.0,4.0,5,8.0,11.0,0.0,Matches
Paulo Henrique,br BRA,DF,27-122,7.4,27.0,18,10.0,14.0,3.0,14.0,24.0,58.3,10.0,7.0,3.0,4.0,8,35.0,18.0,0.0,Matches
Figueiredo,br BRA,"FW,MF",22-102,7.3,8.0,5,5.0,2.0,1.0,2.0,17.0,11.8,15.0,9.0,0.0,9.0,6,14.0,9.0,0.0,Matches
Luca Orellano,ar ARG,"FW,MF",23-247,6.9,14.0,7,7.0,5.0,2.0,8.0,18.0,44.4,10.0,10.0,1.0,9.0,3,17.0,3.0,0.0,Matches
Andrey Santos,br BRA,MF,19-205,4.7,15.0,7,9.0,4.0,2.0,5.0,22.0,22.7,17.0,5.0,1.0,4.0,11,26.0,7.0,1.0,Matches
Dimitri Payet,fr FRA,"MF,FW",36-240,6.8,6.0,4,4.0,2.0,0.0,5.0,12.0,41.7,7.0,2.0,0.0,2.0,1,7.0,0.0,0.0,Matches
Manuel Capasso,ar ARG,DF,27-219,5.2,7.0,3,5.0,2.0,0.0,3.0,9.0,33.3,6.0,8.0,5.0,3.0,7,14.0,15.0,0.0,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,DF",28-232,3.7,6.0,4,2.0,3.0,1.0,2.0,2.0,100.0,0.0,7.0,0.0,7.0,0,6.0,3.0,0.0,Matches
Matías Galarza,py PAR,MF,21-286,4.5,15.0,7,10.0,4.0,1.0,7.0,17.0,41.2,10.0,10.0,2.0,8.0,6,21.0,3.0,0.0,Matches
Miranda,br BRA,DF,23-309,4.3,4.0,3,2.0,2.0,0.0,3.0,5.0,60.0,2.0,2.0,1.0,1.0,4,8.0,19.0,0.0,Matches
Rossi,br BRA,"FW,MF",30-216,4.0,4.0,2,2.0,2.0,0.0,3.0,5.0,60.0,2.0,3.0,0.0,3.0,4,8.0,3.0,0.0,Matches
Rodrigo Alves,br BRA,MF,21-173,3.9,11.0,5,7.0,4.0,0.0,6.0,14.0,42.9,8.0,1.0,0.0,1.0,3,14.0,5.0,1.0,Matches
Sebastián Ferreira,py PAR,"FW,MF",25-284,4.7,8.0,3,1.0,3.0,4.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,0,8.0,1.0,0.0,Matches
Erick Marcus,br BRA,"MF,FW",19-268,4.4,10.0,5,0.0,6.0,4.0,6.0,10.0,60.0,4.0,1.0,0.0,1.0,4,14.0,5.0,0.0,Matches
Mateus Cocão,br BRA,MF,21-251,3.8,13.0,7,6.0,7.0,0.0,3.0,9.0,33.3,6.0,9.0,3.0,6.0,3,16.0,4.0,0.0,Matches
Rayan Vitor,br BRA,"FW,MF",17-113,2.9,2.0,1,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0,2.0,2.0,0.0,Matches
Cauan Barros,br BRA,MF,19-202,2.6,6.0,3,0.0,5.0,1.0,4.0,12.0,33.3,8.0,3.0,0.0,3.0,1,7.0,9.0,0.0,Matches
José Vitor,br BRA,DF,21-167,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,2.0,0,0.0,4.0,0.0,Matches
Gabriel Carabajal,ar ARG,MF,31-350,1.4,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2,3.0,0.0,0.0,Matches
Eguinaldo,br BRA,"FW,MF",19-107,0.7,2.0,1,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,2.0,0.0,0.0,Matches
Paulinho,br BRA,DF,18-185,0.5,,0,,,,,,,,,,,0,,,,Matches
Rwan,br BRA,"MF,FW",22-188,0.4,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Matches
Gabriel Dias,br BRA,DF,29-198,0.1,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,4.0,0.0,Matches
Paulo Victor,br BRA,DF,22-225,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Squad Total,,,26.9,34.0,529.0,327,265.0,210.0,54.0,241.0,603.0,40.0,362.0,362.0,115.0,247.0,274,803.0,711.0,6.0,
Opponent Total,,,28.3,34.0,568.0,380,242.0,260.0,66.0,301.0,665.0,45.3,364.0,351.0,100.0,251.0,285,853.0,758.0,6.0,
